probe_id,probe_resolution_id,candidate_id,localization_id,task_source_id,failure_family,previous_command,previous_command_source,current_action,current_action_source,actuator_lag_proxy,actuator_error_proxy,action_rate_mean,action_rate_peak,trace_delta_proxy,trace_delta_source,command_response_phase_lag_proxy,speed_response_proxy,yaw_response_proxy,beta_response_proxy,plan_first_action_error_proxy,plan_first_action_error_source,finite_metric,m2762_contract_satisfied,action_response_labels_actor_visible,diagnostic_only_no_verdict,claim_boundary
m2764-action-response-probe-0001,m2764-probe-resolution-0001,m2753-cross-axis-candidate-0001,m2756-localization-0001,m1680-spec-0001,collision_negative_clearance,0.20077234506607056,policy_action_trace_zero_bootstrap,0.20300357043743134,policy_action_trace,0.003147032108286061,0.003147032108286061,0.0013329182984307408,0.16278904676437378,0.003147032108286061,current_action_minus_previous_command,0.002239975203358401,10.033831726258214,0.37747112583780756,0.011737012428258033,0.003147032108286061,policy_action_trace_delta_fallback,True,True,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-action-response-probe-0002,m2764-probe-resolution-0002,m2753-cross-axis-candidate-0002,m2756-localization-0002,m1680-spec-0003,offtrack_positive_clearance,0.20751799643039703,policy_action_trace_zero_bootstrap,0.21021075546741486,policy_action_trace,0.0037203737925405483,0.0037203737925405483,0.0016332556260749698,0.16234134137630463,0.0037203737925405483,current_action_minus_previous_command,0.002676814709307759,10.690499430911675,0.4672064652114067,0.037788067331701564,0.0037203737925405483,policy_action_trace_delta_fallback,True,True,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-action-response-probe-0003,m2764-probe-resolution-0003,m2753-cross-axis-candidate-0003,m2756-localization-0003,m1680-spec-0008,offtrack_positive_clearance,0.2116679549217224,policy_action_trace_zero_bootstrap,0.21384529769420624,policy_action_trace,0.0029091907754263957,0.0029091907754263957,0.001239092438481748,0.1615685373544693,0.0029091907754263957,current_action_minus_previous_command,0.002074141606954072,8.650145057793537,0.37667372066716476,0.02308551258455952,0.0029091907754263957,policy_action_trace_delta_fallback,True,True,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-action-response-probe-0004,m2764-probe-resolution-0004,m2753-cross-axis-candidate-0004,m2756-localization-0004,m1680-spec-0010,offtrack_positive_clearance,0.21238486468791962,policy_action_trace_zero_bootstrap,0.21431221067905426,policy_action_trace,0.002585954572052949,0.002585954572052949,0.0011226455681025982,0.1620866358280182,0.002585954572052949,current_action_minus_previous_command,0.0018543000700777736,7.76278956494475,0.35711284791085035,0.04459337216711478,0.002585954572052949,policy_action_trace_delta_fallback,True,True,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-action-response-probe-0005,m2764-probe-resolution-0005,m2753-cross-axis-candidate-0005,m2756-localization-0005,m1680-spec-0037,offtrack_positive_clearance,0.19834862649440765,policy_action_trace_zero_bootstrap,0.200474351644516,policy_action_trace,0.003060804143327974,0.003060804143327974,0.001291617751121521,0.16228757798671722,0.003060804143327974,current_action_minus_previous_command,0.0021762109472247475,9.674123406295017,0.588842130744182,0.07496692299151785,0.003060804143327974,policy_action_trace_delta_fallback,True,True,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-action-response-probe-0006,m2764-probe-resolution-0006,m2753-cross-axis-candidate-0006,m2756-localization-0006,m1680-spec-0039,offtrack_positive_clearance,0.2131694257259369,policy_action_trace_zero_bootstrap,0.21485689282417297,policy_action_trace,0.0025265386612423196,0.0025265386612423196,0.0012857012916356325,0.16259455680847168,0.0025265386612423196,current_action_minus_previous_command,0.001906119976438976,7.3934675127980425,2.4816090129895914,1.5707961894056008,0.0025265386612423196,policy_action_trace_delta_fallback,True,True,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-action-response-probe-0007,m2764-probe-resolution-0007,m2753-cross-axis-candidate-0007,m2756-localization-0007,m1680-spec-0042,offtrack_positive_clearance,0.21863822638988495,policy_action_trace_zero_bootstrap,0.22059912979602814,policy_action_trace,0.003123928591669831,0.003123928591669831,0.0016414327546954155,0.1661984622478485,0.003123928591669831,current_action_minus_previous_command,0.0023826806731826232,9.13259731779359,3.1040383097446362,1.5707962113142395,0.003123928591669831,policy_action_trace_delta_fallback,True,True,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-action-response-probe-0008,m2764-probe-resolution-0008,m2753-cross-axis-candidate-0008,m2756-localization-0008,m1680-spec-0043,collision_negative_clearance,0.20739540457725525,policy_action_trace_zero_bootstrap,0.20930472016334534,policy_action_trace,0.0025056621590716257,0.0025056621590716257,0.0009798328392207623,0.16424357891082764,0.0025056621590716257,current_action_minus_previous_command,0.001742747499146194,7.52992506078735,0.3398452998115877,0.0516277589992652,0.0025056621590716257,policy_action_trace_delta_fallback,True,True,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-action-response-probe-0009,m2764-probe-resolution-0009,m2753-cross-axis-candidate-0009,m2756-localization-0009,m1680-spec-0044,collision_negative_clearance,0.20973734557628632,policy_action_trace_zero_bootstrap,0.21195320785045624,policy_action_trace,0.003063638703033869,0.003063638703033869,0.001330879400484264,0.162477508187294,0.003063638703033869,current_action_minus_previous_command,0.0021972590517590667,9.593097432411279,0.40444847494468494,0.022145749651481864,0.003063638703033869,policy_action_trace_delta_fallback,True,True,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-action-response-probe-0010,m2764-probe-resolution-0010,m2753-cross-axis-candidate-0010,m2756-localization-0010,m1680-spec-0045,offtrack_positive_clearance,0.19584162533283234,policy_action_trace_zero_bootstrap,0.19900308549404144,policy_action_trace,0.004084310323164305,0.004084310323164305,0.0017135880189016461,0.1629227101802826,0.004084310323164305,current_action_minus_previous_command,0.0028989491710329756,9.992264103996774,2.1366853426370924,0.9263513997266677,0.004084310323164305,policy_action_trace_delta_fallback,True,True,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
