telemetry_coverage_id,probe_id,probe_resolution_id,candidate_id,localization_id,task_source_id,failure_family,m2759_incoming_finite_metric,m2762_gap_class,previous_command_finite,previous_command_source,current_action_finite,plan_first_or_trace_delta_finite,plan_first_or_trace_delta_source,response_proxy_finite,m2764_finite_metric,finite_metric_improved_from_m2759,m2759_row_backfilled,actor_visible_allowed,hidden_oracle_actor_input_required,actor_input_contract_changed,diagnostic_only_no_verdict,claim_boundary
m2764-telemetry-coverage-0001,m2764-action-response-probe-0001,m2764-probe-resolution-0001,m2753-cross-axis-candidate-0001,m2756-localization-0001,m1680-spec-0001,collision_negative_clearance,False,previous_command_and_plan_first_action_missing,True,policy_action_trace_zero_bootstrap,True,True,policy_action_trace_delta_fallback,True,True,True,False,False,False,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-telemetry-coverage-0002,m2764-action-response-probe-0002,m2764-probe-resolution-0002,m2753-cross-axis-candidate-0002,m2756-localization-0002,m1680-spec-0003,offtrack_positive_clearance,False,previous_command_and_plan_first_action_missing,True,policy_action_trace_zero_bootstrap,True,True,policy_action_trace_delta_fallback,True,True,True,False,False,False,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-telemetry-coverage-0003,m2764-action-response-probe-0003,m2764-probe-resolution-0003,m2753-cross-axis-candidate-0003,m2756-localization-0003,m1680-spec-0008,offtrack_positive_clearance,False,previous_command_and_plan_first_action_missing,True,policy_action_trace_zero_bootstrap,True,True,policy_action_trace_delta_fallback,True,True,True,False,False,False,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-telemetry-coverage-0004,m2764-action-response-probe-0004,m2764-probe-resolution-0004,m2753-cross-axis-candidate-0004,m2756-localization-0004,m1680-spec-0010,offtrack_positive_clearance,False,previous_command_and_plan_first_action_missing,True,policy_action_trace_zero_bootstrap,True,True,policy_action_trace_delta_fallback,True,True,True,False,False,False,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-telemetry-coverage-0005,m2764-action-response-probe-0005,m2764-probe-resolution-0005,m2753-cross-axis-candidate-0005,m2756-localization-0005,m1680-spec-0037,offtrack_positive_clearance,False,previous_command_and_plan_first_action_missing,True,policy_action_trace_zero_bootstrap,True,True,policy_action_trace_delta_fallback,True,True,True,False,False,False,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-telemetry-coverage-0006,m2764-action-response-probe-0006,m2764-probe-resolution-0006,m2753-cross-axis-candidate-0006,m2756-localization-0006,m1680-spec-0039,offtrack_positive_clearance,False,previous_command_and_plan_first_action_missing,True,policy_action_trace_zero_bootstrap,True,True,policy_action_trace_delta_fallback,True,True,True,False,False,False,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-telemetry-coverage-0007,m2764-action-response-probe-0007,m2764-probe-resolution-0007,m2753-cross-axis-candidate-0007,m2756-localization-0007,m1680-spec-0042,offtrack_positive_clearance,False,previous_command_and_plan_first_action_missing,True,policy_action_trace_zero_bootstrap,True,True,policy_action_trace_delta_fallback,True,True,True,False,False,False,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-telemetry-coverage-0008,m2764-action-response-probe-0008,m2764-probe-resolution-0008,m2753-cross-axis-candidate-0008,m2756-localization-0008,m1680-spec-0043,collision_negative_clearance,False,previous_command_and_plan_first_action_missing,True,policy_action_trace_zero_bootstrap,True,True,policy_action_trace_delta_fallback,True,True,True,False,False,False,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-telemetry-coverage-0009,m2764-action-response-probe-0009,m2764-probe-resolution-0009,m2753-cross-axis-candidate-0009,m2756-localization-0009,m1680-spec-0044,collision_negative_clearance,False,previous_command_and_plan_first_action_missing,True,policy_action_trace_zero_bootstrap,True,True,policy_action_trace_delta_fallback,True,True,True,False,False,False,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-telemetry-coverage-0010,m2764-action-response-probe-0010,m2764-probe-resolution-0010,m2753-cross-axis-candidate-0010,m2756-localization-0010,m1680-spec-0045,offtrack_positive_clearance,False,previous_command_and_plan_first_action_missing,True,policy_action_trace_zero_bootstrap,True,True,policy_action_trace_delta_fallback,True,True,True,False,False,False,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2764-telemetry-coverage-0011,m2764-action-response-probe-0011,m2764-probe-resolution-0011,m2753-cross-axis-candidate-0011,m2756-localization-0011,m1680-spec-0046,offtrack_positive_clearance,False,previous_command_and_plan_first_action_missing,True,policy_action_trace_zero_bootstrap,True,True,policy_action_trace_delta_fallback,True,True,True,False,False,False,False,True,"M2764 Route A action-response telemetry instrumented probe bounded execution only; reset, step, policy action, and rollout are allowed only for the 12 M2756 localized probe rows while evaluator-only previous-command and trace-delta telemetry remains actor-invisible and no replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
