mechanism_localization_id,telemetry_join_id,probe_resolution_id,candidate_id,localization_id,task_source_id,failure_family,termination_reason,diagnostic_outcome_bucket,primary_mechanism,secondary_mechanisms,command_response_mismatch_score,track_containment_score,obstacle_timing_score,mixed_mechanism_score,finite_telemetry,containment_failure_flag,collision_risk_flag,repair_target_class,repair_target_basis,mechanism_localization_labels_actor_visible,ranking_run,diagnostic_only_no_verdict,claim_boundary
m2766-mechanism-localization-0001,m2766-telemetry-join-0001,m2764-probe-resolution-0001,m2753-cross-axis-candidate-0001,m2756-localization-0001,m1680-spec-0001,collision_negative_clearance,off_track,offtrack_context,track_containment_context,command_response_mismatch_context;mixed_mechanism_context,0.003147032108286061,1.0,0.0,2,True,True,False,track_containment_stability_target,finite_telemetry_plus_containment_context,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-mechanism-localization-0002,m2766-telemetry-join-0002,m2764-probe-resolution-0002,m2753-cross-axis-candidate-0002,m2756-localization-0002,m1680-spec-0003,offtrack_positive_clearance,off_track,offtrack_context,track_containment_context,command_response_mismatch_context;mixed_mechanism_context,0.0037203737925405483,1.0,0.0,2,True,True,False,track_containment_stability_target,finite_telemetry_plus_containment_context,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-mechanism-localization-0003,m2766-telemetry-join-0003,m2764-probe-resolution-0003,m2753-cross-axis-candidate-0003,m2756-localization-0003,m1680-spec-0008,offtrack_positive_clearance,,diagnostic_success_context,diagnostic_success_context,command_response_mismatch_context,0.0029091907754263957,0.0,0.0,0,True,False,False,context_only_no_repair_target,finite_telemetry_plus_containment_context,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-mechanism-localization-0004,m2766-telemetry-join-0004,m2764-probe-resolution-0004,m2753-cross-axis-candidate-0004,m2756-localization-0004,m1680-spec-0010,offtrack_positive_clearance,off_track,offtrack_context,track_containment_context,command_response_mismatch_context;mixed_mechanism_context,0.002585954572052949,1.0,0.0,2,True,True,False,track_containment_stability_target,finite_telemetry_plus_containment_context,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-mechanism-localization-0005,m2766-telemetry-join-0005,m2764-probe-resolution-0005,m2753-cross-axis-candidate-0005,m2756-localization-0005,m1680-spec-0037,offtrack_positive_clearance,off_track,offtrack_context,track_containment_context,command_response_mismatch_context;mixed_mechanism_context,0.003060804143327974,1.0,0.0,2,True,True,False,track_containment_stability_target,finite_telemetry_plus_containment_context,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-mechanism-localization-0006,m2766-telemetry-join-0006,m2764-probe-resolution-0006,m2753-cross-axis-candidate-0006,m2756-localization-0006,m1680-spec-0039,offtrack_positive_clearance,,diagnostic_success_context,diagnostic_success_context,command_response_mismatch_context,0.0025265386612423196,0.0,0.0,0,True,False,False,context_only_no_repair_target,finite_telemetry_plus_containment_context,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-mechanism-localization-0007,m2766-telemetry-join-0007,m2764-probe-resolution-0007,m2753-cross-axis-candidate-0007,m2756-localization-0007,m1680-spec-0042,offtrack_positive_clearance,,diagnostic_success_context,diagnostic_success_context,command_response_mismatch_context,0.003123928591669831,0.0,0.0,0,True,False,False,context_only_no_repair_target,finite_telemetry_plus_containment_context,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-mechanism-localization-0008,m2766-telemetry-join-0008,m2764-probe-resolution-0008,m2753-cross-axis-candidate-0008,m2756-localization-0008,m1680-spec-0043,collision_negative_clearance,,diagnostic_success_context,diagnostic_success_context,command_response_mismatch_context,0.0025056621590716257,0.0,0.0,0,True,False,False,context_only_no_repair_target,finite_telemetry_plus_containment_context,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-mechanism-localization-0009,m2766-telemetry-join-0009,m2764-probe-resolution-0009,m2753-cross-axis-candidate-0009,m2756-localization-0009,m1680-spec-0044,collision_negative_clearance,off_track,offtrack_context,track_containment_context,command_response_mismatch_context;mixed_mechanism_context,0.003063638703033869,1.0,0.0,2,True,True,False,track_containment_stability_target,finite_telemetry_plus_containment_context,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-mechanism-localization-0010,m2766-telemetry-join-0010,m2764-probe-resolution-0010,m2753-cross-axis-candidate-0010,m2756-localization-0010,m1680-spec-0045,offtrack_positive_clearance,obstacle_collision,obstacle_collision_context,obstacle_timing_context,command_response_mismatch_context;mixed_mechanism_context,0.004084310323164305,0.0,1.0,2,True,False,True,obstacle_timing_or_clearance_margin_target,finite_telemetry_plus_containment_context,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
