repair_admission_id,mechanism_localization_id,candidate_id,task_source_id,primary_mechanism,repair_target_class,repair_admitted_for_design,repair_admission_status,admission_basis,ranking_run,winner_selected,success_rate_verdict_claim_made,repair_success_claim_made,driver_performance_claim_made,diagnostic_only_no_verdict,claim_boundary
m2766-repair-admission-0001,m2766-mechanism-localization-0001,m2753-cross-axis-candidate-0001,m1680-spec-0001,track_containment_context,track_containment_stability_target,True,bounded_repair_design_candidate,row_level_mechanism_localization_non_ranking,False,False,False,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-repair-admission-0002,m2766-mechanism-localization-0002,m2753-cross-axis-candidate-0002,m1680-spec-0003,track_containment_context,track_containment_stability_target,True,bounded_repair_design_candidate,row_level_mechanism_localization_non_ranking,False,False,False,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-repair-admission-0003,m2766-mechanism-localization-0003,m2753-cross-axis-candidate-0003,m1680-spec-0008,diagnostic_success_context,context_only_no_repair_target,False,context_only_no_repair_design,row_level_mechanism_localization_non_ranking,False,False,False,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-repair-admission-0004,m2766-mechanism-localization-0004,m2753-cross-axis-candidate-0004,m1680-spec-0010,track_containment_context,track_containment_stability_target,True,bounded_repair_design_candidate,row_level_mechanism_localization_non_ranking,False,False,False,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-repair-admission-0005,m2766-mechanism-localization-0005,m2753-cross-axis-candidate-0005,m1680-spec-0037,track_containment_context,track_containment_stability_target,True,bounded_repair_design_candidate,row_level_mechanism_localization_non_ranking,False,False,False,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-repair-admission-0006,m2766-mechanism-localization-0006,m2753-cross-axis-candidate-0006,m1680-spec-0039,diagnostic_success_context,context_only_no_repair_target,False,context_only_no_repair_design,row_level_mechanism_localization_non_ranking,False,False,False,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-repair-admission-0007,m2766-mechanism-localization-0007,m2753-cross-axis-candidate-0007,m1680-spec-0042,diagnostic_success_context,context_only_no_repair_target,False,context_only_no_repair_design,row_level_mechanism_localization_non_ranking,False,False,False,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-repair-admission-0008,m2766-mechanism-localization-0008,m2753-cross-axis-candidate-0008,m1680-spec-0043,diagnostic_success_context,context_only_no_repair_target,False,context_only_no_repair_design,row_level_mechanism_localization_non_ranking,False,False,False,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-repair-admission-0009,m2766-mechanism-localization-0009,m2753-cross-axis-candidate-0009,m1680-spec-0044,track_containment_context,track_containment_stability_target,True,bounded_repair_design_candidate,row_level_mechanism_localization_non_ranking,False,False,False,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2766-repair-admission-0010,m2766-mechanism-localization-0010,m2753-cross-axis-candidate-0010,m1680-spec-0045,obstacle_timing_context,obstacle_timing_or_clearance_margin_target,True,bounded_repair_design_candidate,row_level_mechanism_localization_non_ranking,False,False,False,False,False,True,"M2766 Route A action-response telemetry mechanism-localization panel materialization only; existing M2764 finite evaluator telemetry and containment artifacts are reanalyzed into row-level mechanism and repair-admission context while no reset, step, policy action, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
