candidate_id,role_family,dynamics_axis,seed,seed_index,backend_id,source_model,checkpoint_path,horizon_steps,source_only_surface_id,fixture_id,base_fixture_id,ordinary_success_denominator_allowed,mitigation_reference,actor_visible_labels,source_lineage
m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,264100,0,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_nominal,m2641_source_only_stable_avoidable_base,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_avoidable_seed_264100_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,264100,0,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,m2641_source_only_stable_avoidable_base_fresh_seed_264100_axis_fault_delay_noise,m2641_source_only_stable_avoidable_base,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_avoidable_seed_264101_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,264101,1,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,m2641_source_only_stable_avoidable_base_fresh_seed_264101_axis_nominal,m2641_source_only_stable_avoidable_base,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_avoidable_seed_264101_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,264101,1,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,m2641_source_only_stable_avoidable_base_fresh_seed_264101_axis_fault_delay_noise,m2641_source_only_stable_avoidable_base,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_avoidable_seed_264102_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,264102,2,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,m2641_source_only_stable_avoidable_base_fresh_seed_264102_axis_nominal,m2641_source_only_stable_avoidable_base,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_avoidable_seed_264102_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,264102,2,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,m2641_source_only_stable_avoidable_base_fresh_seed_264102_axis_fault_delay_noise,m2641_source_only_stable_avoidable_base,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_avoidable_seed_264103_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,264103,3,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,m2641_source_only_stable_avoidable_base_fresh_seed_264103_axis_nominal,m2641_source_only_stable_avoidable_base,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_avoidable_seed_264103_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,264103,3,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,m2641_source_only_stable_avoidable_base_fresh_seed_264103_axis_fault_delay_noise,m2641_source_only_stable_avoidable_base,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_aes_seed_265100_fresh_nominal_or_role_default,stable_aes,fresh_nominal_or_role_default,265100,0,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_stable_aes_fixture_fresh_seed_265100_axis_nominal,hf0_four_wheel_stable_aes_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_aes_seed_265100_fresh_fault_delay_noise,stable_aes,fresh_fault_delay_noise,265100,0,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_stable_aes_fixture_fresh_seed_265100_axis_fault_delay_noise,hf0_four_wheel_stable_aes_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_aes_seed_265101_fresh_nominal_or_role_default,stable_aes,fresh_nominal_or_role_default,265101,1,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_stable_aes_fixture_fresh_seed_265101_axis_nominal,hf0_four_wheel_stable_aes_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_aes_seed_265101_fresh_fault_delay_noise,stable_aes,fresh_fault_delay_noise,265101,1,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_stable_aes_fixture_fresh_seed_265101_axis_fault_delay_noise,hf0_four_wheel_stable_aes_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
m2773_stable_aes_seed_265102_fresh_nominal_or_role_default,stable_aes,fresh_nominal_or_role_default,265102,2,source_only_four_wheel_hf0,FourWheelDriftModel,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,80,source_only_four_wheel_hf0,hf0_four_wheel_stable_aes_fixture_fresh_seed_265102_axis_nominal,hf0_four_wheel_stable_aes_fixture,True,False,False,m2772_design_m2641_role_seed_axis_fixture_generator
