delta_row_id,candidate_id,role_family,dynamics_axis,seed,normal_condition_id,intervention_condition_id,ordinary_denominator_allowed,mitigation_reference,matched_trace_steps,trace_pair_complete,normal_collision_diagnostic,intervention_collision_diagnostic,collision_delta,collision_added,collision_removed,normal_road_departure_diagnostic,intervention_road_departure_diagnostic,road_departure_delta,road_departure_added,road_departure_removed,normal_minimum_obstacle_clearance_m,intervention_minimum_obstacle_clearance_m,minimum_obstacle_clearance_m_delta,normal_minimum_road_margin_m,intervention_minimum_road_margin_m,minimum_road_margin_m_delta,trace_delta_proxy_delta,command_response_proxy_delta,action_l1_mean,action_linf_max,physical_action_l1_mean,ego_response_l2_mean,state_speed_abs_delta_mean,finite_trace_pair_pass,actor_input_shape_changed,hidden_or_oracle_actor_input_added,actor_visible_label,no_new_execution,diagnostic_only,ranking_admissible,winner_selected,claim_boundary
m2775_m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default_reset_hidden_each_step,m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,264100,normal_recurrent,reset_hidden_each_step,True,False,80,True,False,False,0,False,False,False,False,0,False,False,18.376473891361414,18.454578891728545,0.07810500036713108,0.6573874549602363,0.7485177991775966,0.09113034421736033,-0.002125459164381026,0.0675552487373352,0.043736422806978224,0.11027473211288452,0.043736422806978224,0.2007619366754116,0.06469886944008825,True,False,False,False,True,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2775_m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default_zero_previous_command_history,m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,264100,normal_recurrent,zero_previous_command_history,True,False,80,True,False,False,0,False,False,False,False,0,False,False,18.376473891361414,18.45554315349965,0.07906926213823695,0.6573874549602363,0.7264895588528415,0.06910210389260518,1.8956546008586883,0.06730910539627022,0.04733864441514015,0.09069156646728516,0.04733864441514015,0.18049633191342374,0.05733746559664186,True,False,False,False,True,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2775_m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default_held_actuator_history,m2773_stable_avoidable_seed_264100_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,264100,normal_recurrent,held_actuator_history,True,False,80,True,False,False,0,False,False,False,False,0,False,False,18.376473891361414,18.470254176772137,0.09378028541072325,0.6573874549602363,0.7446798959902876,0.0872924410300513,1.9011864855885505,0.0828900933265686,0.052870533615350726,0.12117642164230347,0.052870533615350726,0.23381305252260995,0.07048778969862338,True,False,False,False,True,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2775_m2773_stable_avoidable_seed_264100_fresh_fault_delay_noise_reset_hidden_each_step,m2773_stable_avoidable_seed_264100_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,264100,normal_recurrent,reset_hidden_each_step,True,False,80,True,False,False,0,False,False,False,False,0,False,False,17.786540848700568,17.857008424807514,0.07046757610694598,0.8312641826070484,0.9163872864417633,0.08512310383471489,-0.0032478041946887963,0.08538902401924187,0.06198458969593048,0.13870644569396973,0.06198458969593048,0.21682698139801512,0.05698369018633812,True,False,False,False,True,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2775_m2773_stable_avoidable_seed_264100_fresh_fault_delay_noise_zero_previous_command_history,m2773_stable_avoidable_seed_264100_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,264100,normal_recurrent,zero_previous_command_history,True,False,80,True,False,False,0,False,False,False,False,0,False,False,17.786540848700568,17.84567121162035,0.05913036291978102,0.8312641826070484,0.8965529191267478,0.06528873651969946,1.8923236958682537,0.071399068832398,0.05271153524518013,0.1043698787689209,0.05271153524518013,0.1654478428624739,0.04523115064522498,True,False,False,False,True,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2775_m2773_stable_avoidable_seed_264100_fresh_fault_delay_noise_held_actuator_history,m2773_stable_avoidable_seed_264100_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,264100,normal_recurrent,held_actuator_history,True,False,80,True,False,False,0,False,False,False,False,0,False,False,17.786540848700568,17.860467481054112,0.07392663235354391,0.8312641826070484,0.9091813906319177,0.07791720802486934,1.9032331250607966,0.09017385244369525,0.06362096294760704,0.1544053554534912,0.06362096294760704,0.22538167895295294,0.056406881660791275,True,False,False,False,True,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2775_m2773_stable_avoidable_seed_264101_fresh_nominal_or_role_default_reset_hidden_each_step,m2773_stable_avoidable_seed_264101_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,264101,normal_recurrent,reset_hidden_each_step,True,False,80,True,False,False,0,False,False,False,False,0,False,False,17.73131729796093,17.799514331311084,0.06819703335015248,0.2860996745211566,0.3924106782848271,0.10631100376367053,-0.001802527159452439,0.0640629231929779,0.03892892599105835,0.10627806186676025,0.03892892599105835,0.1979160909649419,0.06590314716063336,True,False,False,False,True,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2775_m2773_stable_avoidable_seed_264101_fresh_nominal_or_role_default_zero_previous_command_history,m2773_stable_avoidable_seed_264101_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,264101,normal_recurrent,zero_previous_command_history,True,False,80,True,False,False,0,False,False,False,False,0,False,False,17.73131729796093,17.80215283189903,0.07083553393809794,0.2860996745211566,0.3667261417142964,0.08062646719313982,1.8989943869411945,0.06480300426483154,0.04197317510843277,0.08318525552749634,0.04197317510843277,0.1802667665646425,0.05745970012987421,True,False,False,False,True,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2775_m2773_stable_avoidable_seed_264101_fresh_nominal_or_role_default_held_actuator_history,m2773_stable_avoidable_seed_264101_fresh_nominal_or_role_default,stable_avoidable,fresh_nominal_or_role_default,264101,normal_recurrent,held_actuator_history,True,False,80,True,False,False,0,False,False,False,False,0,False,False,17.73131729796093,17.808625650237722,0.07730835227679123,0.2860996745211566,0.3793089389217936,0.09320926440063704,1.8992714159190656,0.0721751928329466,0.042250198870897294,0.10403519868850708,0.042250198870897294,0.21657807033439047,0.06552797061123738,True,False,False,False,True,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2775_m2773_stable_avoidable_seed_264101_fresh_fault_delay_noise_reset_hidden_each_step,m2773_stable_avoidable_seed_264101_fresh_fault_delay_noise,stable_avoidable,fresh_fault_delay_noise,264101,normal_recurrent,reset_hidden_each_step,True,False,80,True,False,False,0,False,False,True,False,-1,False,True,17.337671864216954,17.39900242176813,0.06133055755117667,-0.0006507443329519802,0.1199263921636784,0.12057713649663038,-0.0018152989447116838,0.07745174765586782,0.04079415276646614,0.10585999488830566,0.04079415276646614,0.20632649830631733,0.07451825310338223,True,False,False,False,True,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
