aggregate_id,role_family,dynamics_axis,intervention_condition_id,delta_row_count,ordinary_delta_row_count,mitigation_reference_delta_row_count,collision_added_count,collision_removed_count,road_departure_added_count,road_departure_removed_count,minimum_obstacle_clearance_m_delta_mean,minimum_road_margin_m_delta_mean,trace_delta_proxy_delta_mean,command_response_proxy_delta_mean,action_l1_mean_mean,action_linf_max_mean,physical_action_l1_mean_mean,ego_response_l2_mean_mean,state_speed_abs_delta_mean_mean,diagnostic_only,ranking_admissible,winner_selected,claim_boundary
role_dynamics_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history,4,4,0,0,0,0,0,0.0373577362165336,-0.056947212507376,1.8746308838948609,-0.01774673312902464,0.018002584204077722,0.03895789384841919,0.018002584204077722,0.04937353915276062,0.017776980554016483,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
role_dynamics_drift_required_recovery_fresh_fault_delay_noise_reset_hidden_each_step,drift_required_recovery,fresh_fault_delay_noise,reset_hidden_each_step,4,4,0,0,0,0,0,-0.06702814800190482,0.12124409664055114,-0.0011806726455688473,0.06654760092496881,0.04602310881018638,0.07985882461071014,0.04602310881018638,0.11697662530300061,0.04068683626413265,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
role_dynamics_drift_required_recovery_fresh_fault_delay_noise_zero_previous_command_history,drift_required_recovery,fresh_fault_delay_noise,zero_previous_command_history,4,4,0,0,0,0,0,-0.009798123653855684,0.020464661555259278,1.8994157975539565,0.01948229521513012,0.014200684614479542,0.04096147418022156,0.014200684614479542,0.04261189962595078,0.008289781857465098,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
role_dynamics_drift_required_recovery_fresh_nominal_or_role_default_held_actuator_history,drift_required_recovery,fresh_nominal_or_role_default,held_actuator_history,4,4,0,0,0,0,0,0.03431963322779996,-0.0694802674515056,1.879641086049378,-0.014677520096301633,0.022898105531930925,0.046395450830459595,0.022898105531930925,0.05392651371311692,0.016620129586962115,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
role_dynamics_drift_required_recovery_fresh_nominal_or_role_default_reset_hidden_each_step,drift_required_recovery,fresh_nominal_or_role_default,reset_hidden_each_step,4,4,0,0,0,0,0,-0.049666239651779076,0.10644377143777906,-0.001167327910661698,0.04605396091938041,0.040864492394030096,0.07771547138690948,0.040864492394030096,0.08316213038015577,0.025786566781142415,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
role_dynamics_drift_required_recovery_fresh_nominal_or_role_default_zero_previous_command_history,drift_required_recovery,fresh_nominal_or_role_default,zero_previous_command_history,4,4,0,0,0,0,0,-0.00921126695364538,0.01771359815415563,1.9075577469542622,0.018762986361980705,0.015082714520394802,0.04813887178897858,0.015082714520394802,0.04075499945999918,0.005793042580157154,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
role_dynamics_stable_aes_fresh_fault_delay_noise_held_actuator_history,stable_aes,fresh_fault_delay_noise,held_actuator_history,4,4,0,0,0,0,0,-0.0007614645323892333,0.11167548652801418,1.902673901990056,0.08588943928480142,0.053708354197442534,0.1068776398897171,0.053708354197442534,0.17090273507456508,0.04953921472415016,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
role_dynamics_stable_aes_fresh_fault_delay_noise_reset_hidden_each_step,stable_aes,fresh_fault_delay_noise,reset_hidden_each_step,4,4,0,0,0,0,1,-0.007698795703047878,0.1269841521777656,-0.0015025546774268157,0.08147781118750574,0.053876479342579844,0.08975614607334137,0.053876479342579844,0.1583995055040774,0.051232944613494015,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
role_dynamics_stable_aes_fresh_fault_delay_noise_zero_previous_command_history,stable_aes,fresh_fault_delay_noise,zero_previous_command_history,4,4,0,0,0,0,0,-0.0018432124624783164,0.10379589949727219,1.8954892314970493,0.07166652604937529,0.046586586907505986,0.07890090346336365,0.046586586907505986,0.1389724967544685,0.04448337275012224,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
role_dynamics_stable_aes_fresh_nominal_or_role_default_held_actuator_history,stable_aes,fresh_nominal_or_role_default,held_actuator_history,4,4,0,0,0,0,0,0.014351698095530274,0.13534830331818837,1.9019788457080722,0.08589580655097984,0.04802921805530787,0.09244054555892944,0.04802921805530787,0.19637308314903948,0.07050758889303943,True,False,False,"M2775 materializes no-new-rollout source-only normal-vs-intervention deltas only; delta rows are diagnostic reanalysis and not ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
