curriculum_row_id,stress_family,role_family,dynamics_axis,ordinary_candidate_count,mitigation_reference_count,behavior_outcome_sensitive_count,action_response_sensitive_count,trace_sensitive_count,weak_or_context_count,future_pack_priority,future_training_allowed,future_execution_allowed,requires_fresh_rollout,requires_training_manifest,ranking_admissible,claim_boundary
m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,held_actuator_history_stress,drift_required_recovery,fresh_fault_delay_noise,4,0,0,0,4,0,low_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_nominal_or_role_default,held_actuator_history_stress,drift_required_recovery,fresh_nominal_or_role_default,4,0,0,1,3,0,medium_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_held_actuator_history_stress_stable_aes_fresh_fault_delay_noise,held_actuator_history_stress,stable_aes,fresh_fault_delay_noise,4,0,0,4,0,0,medium_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_held_actuator_history_stress_stable_aes_fresh_nominal_or_role_default,held_actuator_history_stress,stable_aes,fresh_nominal_or_role_default,4,0,0,4,0,0,medium_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_held_actuator_history_stress_stable_avoidable_fresh_fault_delay_noise,held_actuator_history_stress,stable_avoidable,fresh_fault_delay_noise,4,0,1,3,0,0,high_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_held_actuator_history_stress_stable_avoidable_fresh_nominal_or_role_default,held_actuator_history_stress,stable_avoidable,fresh_nominal_or_role_default,4,0,0,4,0,0,medium_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_held_actuator_history_stress_unavoidable_mitigation_fresh_fault_delay_noise,held_actuator_history_stress,unavoidable_mitigation,fresh_fault_delay_noise,0,4,0,0,0,4,context_only,False,False,False,False,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_held_actuator_history_stress_unavoidable_mitigation_fresh_nominal_or_role_default,held_actuator_history_stress,unavoidable_mitigation,fresh_nominal_or_role_default,0,4,0,0,0,4,context_only,False,False,False,False,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_fault_delay_noise,previous_command_history_stress,drift_required_recovery,fresh_fault_delay_noise,4,0,0,0,4,0,low_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_nominal_or_role_default,previous_command_history_stress,drift_required_recovery,fresh_nominal_or_role_default,4,0,0,0,4,0,low_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_previous_command_history_stress_stable_aes_fresh_fault_delay_noise,previous_command_history_stress,stable_aes,fresh_fault_delay_noise,4,0,0,4,0,0,medium_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_previous_command_history_stress_stable_aes_fresh_nominal_or_role_default,previous_command_history_stress,stable_aes,fresh_nominal_or_role_default,4,0,0,4,0,0,medium_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_previous_command_history_stress_stable_avoidable_fresh_fault_delay_noise,previous_command_history_stress,stable_avoidable,fresh_fault_delay_noise,4,0,1,3,0,0,high_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_previous_command_history_stress_stable_avoidable_fresh_nominal_or_role_default,previous_command_history_stress,stable_avoidable,fresh_nominal_or_role_default,4,0,0,4,0,0,medium_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_previous_command_history_stress_unavoidable_mitigation_fresh_fault_delay_noise,previous_command_history_stress,unavoidable_mitigation,fresh_fault_delay_noise,0,4,0,0,0,4,context_only,False,False,False,False,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_previous_command_history_stress_unavoidable_mitigation_fresh_nominal_or_role_default,previous_command_history_stress,unavoidable_mitigation,fresh_nominal_or_role_default,0,4,0,0,0,4,context_only,False,False,False,False,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_recurrent_hidden_reset_stress_drift_required_recovery_fresh_fault_delay_noise,recurrent_hidden_reset_stress,drift_required_recovery,fresh_fault_delay_noise,4,0,0,4,0,0,medium_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_recurrent_hidden_reset_stress_drift_required_recovery_fresh_nominal_or_role_default,recurrent_hidden_reset_stress,drift_required_recovery,fresh_nominal_or_role_default,4,0,0,4,0,0,medium_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_recurrent_hidden_reset_stress_stable_aes_fresh_fault_delay_noise,recurrent_hidden_reset_stress,stable_aes,fresh_fault_delay_noise,4,0,1,3,0,0,high_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_recurrent_hidden_reset_stress_stable_aes_fresh_nominal_or_role_default,recurrent_hidden_reset_stress,stable_aes,fresh_nominal_or_role_default,4,0,0,4,0,0,medium_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_recurrent_hidden_reset_stress_stable_avoidable_fresh_fault_delay_noise,recurrent_hidden_reset_stress,stable_avoidable,fresh_fault_delay_noise,4,0,1,3,0,0,high_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_recurrent_hidden_reset_stress_stable_avoidable_fresh_nominal_or_role_default,recurrent_hidden_reset_stress,stable_avoidable,fresh_nominal_or_role_default,4,0,0,4,0,0,medium_audit_required,True,True,True,True,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_recurrent_hidden_reset_stress_unavoidable_mitigation_fresh_fault_delay_noise,recurrent_hidden_reset_stress,unavoidable_mitigation,fresh_fault_delay_noise,0,4,0,0,0,4,context_only,False,False,False,False,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
m2779_curriculum_recurrent_hidden_reset_stress_unavoidable_mitigation_fresh_nominal_or_role_default,recurrent_hidden_reset_stress,unavoidable_mitigation,fresh_nominal_or_role_default,0,4,0,0,0,4,context_only,False,False,False,False,False,"M2779 materializes a no-rollout source-only belief-stress admission pack only; rows are diagnostic admission metadata and not execution, training, ranking, promotion, validation, performance, paper, current-sim, high-fidelity, full-driver, or self-ID evidence"
