training_row_id,split,role_family,dynamics_axis,stress_family,seed_index,seed,source_curriculum_row_id,fixture_id,stress_preparation,warmup_step_count,observation_shape,action_shape,reset_run,policy_action_run,backend_step_run,source_action_steer,source_action_throttle,source_action_brake,candidate_action_steer,candidate_action_throttle,candidate_action_brake,action_delta_l1,candidate_throttle_brake_conflict_proxy,command_response_proxy,finite_observation,finite_action,actor_visible_label,hidden_or_oracle_actor_inputs_required,ordinary_denominator_allowed,mitigation_reference,update_index,claim_scope,forbidden_interpretation
m2782_training_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266100,training,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,0,266100,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,72,3,True,True,True,0.9763874411582947,-1.0,1.0,0.9766775369644165,-1.0,1.0,9.669860446592793e-05,0.0,0.29491518437862396,True,True,False,False,True,False,0,Route A source-only belief-stress short-training continuation preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2782_training_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266101,training,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,1,266101,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266101_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,72,3,True,True,True,0.976457953453064,-1.0,1.0,0.9767471551895142,-1.0,1.0,9.640058124205098e-05,0.0,0.25876810401678085,True,True,False,False,True,False,0,Route A source-only belief-stress short-training continuation preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2782_training_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266102,training,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,2,266102,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266102_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,72,3,True,True,True,0.9764140844345093,-1.0,1.0,0.9767038226127625,-1.0,1.0,9.657939517637715e-05,0.0,0.22783552459441125,True,True,False,False,True,False,0,Route A source-only belief-stress short-training continuation preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2782_training_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266100,training,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,0,266100,m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_fault_delay_noise,zero_previous_command_history,0,72,3,True,True,True,0.9762359857559204,-1.0,1.0,0.9765278697013855,-1.0,1.0,9.729465091368183e-05,0.0,0.4344962239265442,True,True,False,False,True,False,0,Route A source-only belief-stress short-training continuation preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2782_training_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266101,training,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,1,266101,m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266101_axis_fault_delay_noise,zero_previous_command_history,0,72,3,True,True,True,0.9759551286697388,-1.0,1.0,0.976250410079956,-1.0,1.0,9.842713916441426e-05,0.0,0.5143043845891953,True,True,False,False,True,False,0,Route A source-only belief-stress short-training continuation preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2782_training_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266102,training,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,2,266102,m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266102_axis_fault_delay_noise,zero_previous_command_history,0,72,3,True,True,True,0.975983202457428,-1.0,1.0,0.9762781858444214,-1.0,1.0,9.83277932391502e-05,0.0,0.4168156012892723,True,True,False,False,True,False,0,Route A source-only belief-stress short-training continuation preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2782_training_drift_required_recovery_fresh_fault_delay_noise_recurrent_hidden_reset_stress_seed_266100,training,drift_required_recovery,fresh_fault_delay_noise,recurrent_hidden_reset_stress,0,266100,m2779_curriculum_recurrent_hidden_reset_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_fault_delay_noise,reset_actor_state_before_action,0,72,3,True,True,True,0.9762359857559204,-1.0,1.0,0.9765278697013855,-1.0,1.0,9.729465091368183e-05,0.0,0.4344962239265442,True,True,False,False,True,False,0,Route A source-only belief-stress short-training continuation preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2782_training_drift_required_recovery_fresh_fault_delay_noise_recurrent_hidden_reset_stress_seed_266101,training,drift_required_recovery,fresh_fault_delay_noise,recurrent_hidden_reset_stress,1,266101,m2779_curriculum_recurrent_hidden_reset_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266101_axis_fault_delay_noise,reset_actor_state_before_action,0,72,3,True,True,True,0.9759551286697388,-1.0,1.0,0.976250410079956,-1.0,1.0,9.842713916441426e-05,0.0,0.5143043845891953,True,True,False,False,True,False,0,Route A source-only belief-stress short-training continuation preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2782_training_drift_required_recovery_fresh_fault_delay_noise_recurrent_hidden_reset_stress_seed_266102,training,drift_required_recovery,fresh_fault_delay_noise,recurrent_hidden_reset_stress,2,266102,m2779_curriculum_recurrent_hidden_reset_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266102_axis_fault_delay_noise,reset_actor_state_before_action,0,72,3,True,True,True,0.975983202457428,-1.0,1.0,0.9762781858444214,-1.0,1.0,9.83277932391502e-05,0.0,0.4168156012892723,True,True,False,False,True,False,0,Route A source-only belief-stress short-training continuation preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2782_training_drift_required_recovery_fresh_nominal_or_role_default_held_actuator_history_stress_seed_266100,training,drift_required_recovery,fresh_nominal_or_role_default,held_actuator_history_stress,0,266100,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_nominal_or_role_default,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_nominal,one_warmup_step_held_actuator_history,1,72,3,True,True,True,0.9764052033424377,-1.0,1.0,0.9766950607299805,-1.0,1.0,9.66191291809082e-05,0.0,0.2851104438304901,True,True,False,False,True,False,0,Route A source-only belief-stress short-training continuation preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2782_training_drift_required_recovery_fresh_nominal_or_role_default_held_actuator_history_stress_seed_266101,training,drift_required_recovery,fresh_nominal_or_role_default,held_actuator_history_stress,1,266101,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_nominal_or_role_default,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266101_axis_nominal,one_warmup_step_held_actuator_history,1,72,3,True,True,True,0.9764569401741028,-1.0,1.0,0.976746141910553,-1.0,1.0,9.640058124205098e-05,0.0,0.27535543590784073,True,True,False,False,True,False,0,Route A source-only belief-stress short-training continuation preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2782_training_drift_required_recovery_fresh_nominal_or_role_default_held_actuator_history_stress_seed_266102,training,drift_required_recovery,fresh_nominal_or_role_default,held_actuator_history_stress,2,266102,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_nominal_or_role_default,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266102_axis_nominal,one_warmup_step_held_actuator_history,1,72,3,True,True,True,0.9764299988746643,-1.0,1.0,0.9767194986343384,-1.0,1.0,9.649991989135742e-05,0.0,0.2438209019601345,True,True,False,False,True,False,0,Route A source-only belief-stress short-training continuation preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2782_training_drift_required_recovery_fresh_nominal_or_role_default_previous_command_history_stress_seed_266100,training,drift_required_recovery,fresh_nominal_or_role_default,previous_command_history_stress,0,266100,m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_nominal_or_role_default,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_nominal,zero_previous_command_history,0,72,3,True,True,True,0.9762359857559204,-1.0,1.0,0.9765278697013855,-1.0,1.0,9.729465091368183e-05,0.0,0.43442221730947495,True,True,False,False,True,False,0,Route A source-only belief-stress short-training continuation preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
