training_row_id,split,role_family,dynamics_axis,stress_family,seed_index,seed,source_curriculum_row_id,fixture_id,stress_preparation,warmup_step_count,observation_shape,action_shape,reset_run,policy_action_run,backend_step_run,source_action_steer,source_action_throttle,source_action_brake,candidate_action_steer,candidate_action_throttle,candidate_action_brake,action_delta_l1,candidate_throttle_brake_conflict_proxy,command_response_proxy,finite_observation,finite_action,actor_visible_label,hidden_or_oracle_actor_inputs_required,ordinary_denominator_allowed,mitigation_reference,update_index,claim_scope,forbidden_interpretation
m2791_training_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266100,training,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,0,266100,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,72,3,True,True,True,0.9766775369644165,-1.0,1.0,0.9767293334007263,-1.0,1.0,1.726547816360835e-05,0.0,0.29491518437862396,True,True,False,False,True,False,0,Route A source-only belief-stress guardrailed multi-objective training/update preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2791_training_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266101,training,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,1,266101,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266101_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,72,3,True,True,True,0.9767471551895142,-1.0,1.0,0.9767988324165344,-1.0,1.0,1.722574234008789e-05,0.0,0.25876810401678085,True,True,False,False,True,False,0,Route A source-only belief-stress guardrailed multi-objective training/update preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2791_training_drift_required_recovery_fresh_fault_delay_noise_held_actuator_history_stress_seed_266102,training,drift_required_recovery,fresh_fault_delay_noise,held_actuator_history_stress,2,266102,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266102_axis_fault_delay_noise,one_warmup_step_held_actuator_history,1,72,3,True,True,True,0.9767038226127625,-1.0,1.0,0.9767555594444275,-1.0,1.0,1.7245611161342822e-05,0.0,0.22783552459441125,True,True,False,False,True,False,0,Route A source-only belief-stress guardrailed multi-objective training/update preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2791_training_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266100,training,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,0,266100,m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_fault_delay_noise,zero_previous_command_history,0,72,3,True,True,True,0.9765278697013855,-1.0,1.0,0.976580023765564,-1.0,1.0,1.738468745315913e-05,0.0,0.4344962239265442,True,True,False,False,True,False,0,Route A source-only belief-stress guardrailed multi-objective training/update preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2791_training_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266101,training,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,1,266101,m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266101_axis_fault_delay_noise,zero_previous_command_history,0,72,3,True,True,True,0.976250410079956,-1.0,1.0,0.9763031601905823,-1.0,1.0,1.7583370208740234e-05,0.0,0.5143043845891953,True,True,False,False,True,False,0,Route A source-only belief-stress guardrailed multi-objective training/update preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2791_training_drift_required_recovery_fresh_fault_delay_noise_previous_command_history_stress_seed_266102,training,drift_required_recovery,fresh_fault_delay_noise,previous_command_history_stress,2,266102,m2779_curriculum_previous_command_history_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266102_axis_fault_delay_noise,zero_previous_command_history,0,72,3,True,True,True,0.9762781858444214,-1.0,1.0,0.9763308763504028,-1.0,1.0,1.7563501387485303e-05,0.0,0.4168156012892723,True,True,False,False,True,False,0,Route A source-only belief-stress guardrailed multi-objective training/update preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2791_training_drift_required_recovery_fresh_fault_delay_noise_recurrent_hidden_reset_stress_seed_266100,training,drift_required_recovery,fresh_fault_delay_noise,recurrent_hidden_reset_stress,0,266100,m2779_curriculum_recurrent_hidden_reset_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_fault_delay_noise,reset_actor_state_before_action,0,72,3,True,True,True,0.9765278697013855,-1.0,1.0,0.976580023765564,-1.0,1.0,1.738468745315913e-05,0.0,0.4344962239265442,True,True,False,False,True,False,0,Route A source-only belief-stress guardrailed multi-objective training/update preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2791_training_drift_required_recovery_fresh_fault_delay_noise_recurrent_hidden_reset_stress_seed_266101,training,drift_required_recovery,fresh_fault_delay_noise,recurrent_hidden_reset_stress,1,266101,m2779_curriculum_recurrent_hidden_reset_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266101_axis_fault_delay_noise,reset_actor_state_before_action,0,72,3,True,True,True,0.976250410079956,-1.0,1.0,0.9763031601905823,-1.0,1.0,1.7583370208740234e-05,0.0,0.5143043845891953,True,True,False,False,True,False,0,Route A source-only belief-stress guardrailed multi-objective training/update preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2791_training_drift_required_recovery_fresh_fault_delay_noise_recurrent_hidden_reset_stress_seed_266102,training,drift_required_recovery,fresh_fault_delay_noise,recurrent_hidden_reset_stress,2,266102,m2779_curriculum_recurrent_hidden_reset_stress_drift_required_recovery_fresh_fault_delay_noise,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266102_axis_fault_delay_noise,reset_actor_state_before_action,0,72,3,True,True,True,0.9762781858444214,-1.0,1.0,0.9763308763504028,-1.0,1.0,1.7563501387485303e-05,0.0,0.4168156012892723,True,True,False,False,True,False,0,Route A source-only belief-stress guardrailed multi-objective training/update preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
m2791_training_drift_required_recovery_fresh_nominal_or_role_default_held_actuator_history_stress_seed_266100,training,drift_required_recovery,fresh_nominal_or_role_default,held_actuator_history_stress,0,266100,m2779_curriculum_held_actuator_history_stress_drift_required_recovery_fresh_nominal_or_role_default,hf0_four_wheel_drift_required_recovery_fixture_fresh_seed_266100_axis_nominal,one_warmup_step_held_actuator_history,1,72,3,True,True,True,0.9766950607299805,-1.0,1.0,0.9767467975616455,-1.0,1.0,1.7245611161342822e-05,0.0,0.2851104438304901,True,True,False,False,True,False,0,Route A source-only belief-stress guardrailed multi-objective training/update preflight only,"validation, ranking, winner selection, checkpoint promotion, success-rate verdict, repair success, driver performance, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation, full ideal driver completion, or level3 self-identification"
