seed,policy,steps,terminated,truncated,mu,initial_mu,mass,mass_scale,inertia_scale,cg_shift,tire_stiffness_scale,brake_scale,drive_scale,steer_tau_scale,drive_tau_scale,friction_step_at,friction_step_applied,obstacle_enabled,obstacle_label,collision,obstacle_completed,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,termination_reason,obstacle_passed_raw,completion_reason,outcome_bucket,return,mean_reward,lateral_rmse,lateral_peak,beta_abs_error_mean,beta_abs_peak,high_sideslip_fraction,speed_mean,action_rate_mean,previous_command_norm_mean,previous_command_norm_peak,current_action_norm_mean,current_action_norm_peak,action_trace_delta_mean,action_trace_delta_peak,previous_command_bootstrap_count,previous_command_source,action_trace_delta_source,plan_horizon,plan_action_rate_mean,plan_first_action_error_mean,dt,track_width,first_obstacle_pass_step,first_obstacle_pass_time_s,first_recovery_step,first_recovery_time_s,recovery_success,recovery_time_proxy,max_abs_beta,max_abs_yaw_rate,drift_used,controlled_drift_recovery_success,impact_speed_proxy,impact_beta_abs,impact_yaw_rate_abs,impact_severity_proxy,collision_mitigation_score,max_off_track_overshoot,time_to_first_off_track_s,off_track_severity_proxy,impact_speed_mps,impact_speed_mps_available,delta_v_at_impact_mps,delta_v_at_impact_mps_available,time_to_collision_s,time_to_collision_s_available,collision_angle_or_side,collision_angle_or_side_available,collision_side_proxy,post_event_speed_mps,post_event_speed_mps_available,post_event_yaw_rate_abs,post_event_yaw_rate_abs_available,post_event_offtrack_overshoot,post_event_offtrack_overshoot_available,recoverability_window_success,recoverability_window_success_available,left_curve_steps,left_curve_lateral_rmse,left_curve_beta_abs_error_mean,left_curve_speed_mean,left_curve_reward_mean,right_curve_steps,right_curve_lateral_rmse,right_curve_beta_abs_error_mean,right_curve_speed_mean,right_curve_reward_mean,near_zero_steps,near_zero_lateral_rmse,near_zero_beta_abs_error_mean,near_zero_speed_mean,near_zero_reward_mean,workload_id,task_source_id,profile_name,task_family,source_edge,window_tag,strata,executable_source_family,env_template_family,profile_config_path,checkpoint_path,profile_env_history_length,eval_seed,routing_smoke_only,full_rollout_execution,private_holdout_used,promoted,training_started,replay_started,ppo_used,actor_input_contract_changed,profile_specific_tuning,controller_family_ranking_claim_made,paper_level_claim_made,level3_self_id_claim_made,success,m2807_eval_seed,resolution_id,candidate_id,bounded_post_clearance_negative_non_same_repair_cross_axis_execution_preflight,candidate_surface_count,stress_axis_primary,stress_axis_tags,prior_panel_execution,protected_blocker_execution,hf3_blocker_execution,protected_rows_in_success_denominator,hidden_oracle_actor_input_required,stress_axis_labels_actor_visible,blocker_labels_actor_visible,route_labels_actor_visible,success_progress_labels_actor_visible,verdict_labels_actor_visible,source_build_run,adapter_probe_run,external_simulation_run,active_config_overwritten,ranking_run,winner_selected,checkpoint_promoted,success_rate_verdict_claim_made,driver_performance_claim_made,validation_readiness_claim_made,validation_result_claim_made,paper_claim_made,current_sim_verdict_claim_made,high_fidelity_validation_claim_made,full_ideal_driver_gate_passed,diagnostic_only_no_verdict,claim_boundary,forbidden_interpretation
280700,checkpoint,126,True,False,0.6639498627394094,0.9155687152407201,1593.0269919773662,1.0986393048119767,1.0164700064044754,-0.08242113636051851,0.7885958747941499,1.2565630455695782,0.818442765745932,1.189727669800428,1.189727669800428,18,True,True,aeb_feasible,False,False,9.484352605841137,2.066685633170508,7.417666972670629,off_track,False,off_track,off_track_noncollision_noncompletion,62.702897867036306,0.4976420465637802,2.1418221903075394,5.05596457372976,0.35940341302615575,0.0648580460895245,0.0,8.005599231020183,0.001021112664602697,0.21264366805553436,0.22717049717903137,0.2143024057149887,0.22717049717903137,0.0023372298520472315,0.16685187816619873,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,1,,,0.02,5.0,,,,,False,,0.0648580460895245,0.3681165518708658,False,False,,,,,0.0,0.05596457372976005,2.52,0.05596457372976005,,False,,False,,False,,False,,,False,,False,,False,False,False,126,2.1418221903075394,0.35940341302615575,8.005599231020183,0.4976420465637802,0,,,,,0,,,,,m1680-spec-0014::L3_online_gru,m1680-spec-0014,L3_online_gru,T4,actuator_delay_step|capability_step_up,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,capability_step_up,t4_capability_step_temporal,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,280700,False,True,False,False,False,False,False,False,False,False,False,False,False,280700,m2807-resolution-0001,m2807-cross-axis-candidate-0001,True,12,actuator_delay_or_response,actuator_delay_or_response;capability_step_or_authority,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2807 Route A post-clearance negative non-same-repair cross-axis bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-repair M1690 L3_online_gru rows, while M2737/M2746/M2753 prior-surface rows, M2799/M2801 same-clearance repair rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
280701,checkpoint,110,True,False,0.8923578556098866,0.3737475118286497,1270.4929814052782,0.8762020561415712,1.1512085100532456,-0.11495909786508385,1.0527039838649392,1.2124071262665974,1.2203023675359517,1.7806852121752863,1.7806852121752863,23,True,True,aeb_feasible,False,False,18.033181771268367,1.974942039668976,16.058239731599393,off_track,False,off_track,off_track_noncollision_noncompletion,83.58067946583024,0.759824358780275,2.2286443381203043,5.052904708522217,0.3092908882348062,0.04600995759814966,0.0,8.749679072196479,0.0010696391109377146,0.20467588305473328,0.21537016332149506,0.20651856064796448,0.21537016332149506,0.0025383828031904573,0.16263143718242645,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,1,,,0.02,5.0,,,,,False,,0.04600995759814966,0.4059538177461509,False,False,,,,,0.0,0.05290470852221674,2.2,0.05290470852221674,,False,,False,,False,,False,,,False,,False,,False,False,False,110,2.2286443381203043,0.3092908882348062,8.749679072196479,0.759824358780275,0,,,,,0,,,,,m1680-spec-0016::L3_online_gru,m1680-spec-0016,L3_online_gru,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T4,capability_step_down,t4_capability_step_temporal,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,280701,False,True,False,False,False,False,False,False,False,False,False,False,False,280701,m2807-resolution-0002,m2807-cross-axis-candidate-0002,True,12,capability_step_or_authority,actuator_delay_or_response;capability_step_or_authority,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2807 Route A post-clearance negative non-same-repair cross-axis bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-repair M1690 L3_online_gru rows, while M2737/M2746/M2753 prior-surface rows, M2799/M2801 same-clearance repair rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
280702,checkpoint,102,True,False,0.6037766667376199,0.6037766667376199,1425.9366461632658,0.9834045835608729,1.0786550305963067,0.01854925777188865,1.152844961800763,1.0433180270445541,1.112468660119459,2.579992490739338,2.579992490739338,,False,True,aeb_feasible,False,False,7.544193084170425,1.7211769837196882,5.823016100450737,off_track,False,off_track,off_track_noncollision_noncompletion,55.6583596176978,0.5456701923303706,2.1464758083335456,5.1074562818132065,0.5575128959284836,0.01600038840132013,0.0,9.03838666416933,0.0012117528822273016,0.20389214158058167,0.22005388140678406,0.20587435364723206,0.22005388140678406,0.002799802454783097,0.16319282352924347,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,1,,,0.02,5.0,,,,,False,,0.01600038840132013,0.33808158592095355,False,False,,,,,0.0,0.10745628181320654,2.04,0.10745628181320654,,False,,False,,False,,False,,,False,,False,,False,False,False,102,2.1464758083335456,0.5575128959284836,9.03838666416933,0.5456701923303706,0,,,,,0,,,,,m1680-spec-0018::L3_online_gru,m1680-spec-0018,L3_online_gru,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T4,t4_actuator_delay_response,t4_actuator_delay_response,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,280702,False,True,False,False,False,False,False,False,False,False,False,False,False,280702,m2807-resolution-0003,m2807-cross-axis-candidate-0003,True,12,actuator_delay_or_response,actuator_delay_or_response;capability_step_or_authority,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2807 Route A post-clearance negative non-same-repair cross-axis bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-repair M1690 L3_online_gru rows, while M2737/M2746/M2753 prior-surface rows, M2799/M2801 same-clearance repair rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
280703,checkpoint,72,True,False,0.9360998346354421,0.9360998346354421,1640.1883616099044,1.1311643873171755,0.923355995781595,-0.06692394176420424,1.1775722338617267,1.049385352493907,0.7568706423312933,3.3297790887729692,3.3297790887729697,,False,True,aeb_feasible,False,False,2.75612660359591,1.569731369156339,1.1863952344395712,off_track,False,off_track,off_track_noncollision_noncompletion,21.007149965106006,0.2917659717375834,2.4390100699944104,5.112731174082377,0.4457134106560772,0.013142907614287476,0.0,11.326851495728429,0.001735839992761612,0.21191726624965668,0.22557766735553741,0.2148502916097641,0.22557766735553741,0.0039295714891017675,0.15968450903892517,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,1,,,0.02,5.0,,,,,False,,0.013142907614287476,0.46841272383098864,False,False,,,,,0.0,0.1127311740823771,1.44,0.1127311740823771,,False,,False,,False,,False,,,False,,False,,False,False,False,72,2.4390100699944104,0.4457134106560772,11.326851495728429,0.2917659717375834,0,,,,,0,,,,,m1680-spec-0022::L3_online_gru,m1680-spec-0022,L3_online_gru,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T4,actuator_delay_step,t4_actuator_delay_response,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,280703,False,True,False,False,False,False,False,False,False,False,False,False,False,280703,m2807-resolution-0004,m2807-cross-axis-candidate-0004,True,12,actuator_delay_or_response,actuator_delay_or_response,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2807 Route A post-clearance negative non-same-repair cross-axis bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-repair M1690 L3_online_gru rows, while M2737/M2746/M2753 prior-surface rows, M2799/M2801 same-clearance repair rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
280704,checkpoint,105,True,False,0.9458755058055589,0.6601409659993487,1587.2559447064475,1.094659272211343,1.246236604553362,-0.10503426092135415,0.7032337640807549,0.8266162497449847,1.0744226740955864,1.7169951640342558,1.716995164034256,33,True,True,aeb_feasible,False,False,22.10622820533597,1.6270129189828748,20.479215286353096,off_track,False,off_track,off_track_noncollision_noncompletion,65.02523326892631,0.6192879358945363,2.056238586607796,5.090980806296059,0.5421480665720804,0.051778174162627734,0.0,9.697815024952241,0.0011346673127263784,0.20485541224479675,0.2185535877943039,0.20678327977657318,0.2185535877943039,0.0026945652890606737,0.16492396593093872,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,1,,,0.02,5.0,,,,,False,,0.051778174162627734,0.40038836912568304,False,False,,,,,0.0,0.09098080629605931,2.1,0.09098080629605931,,False,,False,,False,,False,,,False,,False,,False,False,False,105,2.056238586607796,0.5421480665720804,9.697815024952241,0.6192879358945363,0,,,,,0,,,,,m1680-spec-0026::L3_online_gru,m1680-spec-0026,L3_online_gru,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T4,t4_capability_step_temporal,t4_capability_step_temporal,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,280704,False,True,False,False,False,False,False,False,False,False,False,False,False,280704,m2807-resolution-0005,m2807-cross-axis-candidate-0005,True,12,capability_step_or_authority,capability_step_or_authority,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2807 Route A post-clearance negative non-same-repair cross-axis bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-repair M1690 L3_online_gru rows, while M2737/M2746/M2753 prior-surface rows, M2799/M2801 same-clearance repair rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
280705,checkpoint,91,True,False,0.9861312557990052,0.9861312557990052,1705.3444956606593,1.176099652179765,1.1441069757271136,0.013320168594297188,1.0010437251198396,1.1282434199440183,1.038836558934652,1.0258908556723971,1.0258908556723971,,False,True,aeb_feasible,False,False,4.700666720448969,1.6713722195371372,3.0292945009118317,off_track,False,off_track,off_track_noncollision_noncompletion,44.03277593799238,0.48387665865925694,2.131588654139639,5.065358766515303,0.48652839630575306,0.04643200410725297,0.0,10.39160852156308,0.001342265633866191,0.20711953938007355,0.2221755087375641,0.2093762755393982,0.2221755087375641,0.003145536037474093,0.16543987393379211,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,1,,,0.02,5.0,,,,,False,,0.04643200410725297,0.4442519913606583,False,False,,,,,0.0,0.06535876651530259,1.82,0.06535876651530259,,False,,False,,False,,False,,,False,,False,,False,False,False,91,2.131588654139639,0.48652839630575306,10.39160852156308,0.48387665865925694,0,,,,,0,,,,,m1680-spec-0032::L3_online_gru,m1680-spec-0032,L3_online_gru,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T4,t4_actuator_delay_response,t4_actuator_delay_response,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,280705,False,True,False,False,False,False,False,False,False,False,False,False,False,280705,m2807-resolution-0006,m2807-cross-axis-candidate-0006,True,12,actuator_delay_or_response,actuator_delay_or_response;capability_step_or_authority,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2807 Route A post-clearance negative non-same-repair cross-axis bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-repair M1690 L3_online_gru rows, while M2737/M2746/M2753 prior-surface rows, M2799/M2801 same-clearance repair rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
280706,checkpoint,69,True,False,0.766953288892366,0.766953288892366,1460.3505779177167,1.0071383295984253,1.1113410488225333,0.012245296826015384,0.8412798491488556,0.6389103824799313,1.1471646390374306,1.8619151350747545,1.8619151350747545,,False,True,aeb_feasible,False,False,18.02992398871518,1.7412709356761602,16.28865305303902,off_track,False,off_track,off_track_noncollision_noncompletion,27.028518986141595,0.39171766646582024,2.4497092826111917,5.077286297709371,0.5627551904484142,0.0315224324341381,0.0,11.617448284517522,0.0015495618572458625,0.2005964070558548,0.21242710947990417,0.2034967690706253,0.21242710947990417,0.0038354668493780805,0.15927700698375702,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,1,,,0.02,5.0,,,,,False,,0.0315224324341381,0.4807679466251203,False,False,,,,,0.0,0.0772862977093709,1.3800000000000001,0.0772862977093709,,False,,False,,False,,False,,,False,,False,,False,False,False,69,2.4497092826111917,0.5627551904484142,11.617448284517522,0.39171766646582024,0,,,,,0,,,,,m1680-spec-0048::L3_online_gru,m1680-spec-0048,L3_online_gru,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,all_72_specs;explicit_window_subset;task_family_T5,t5_boundary_axis_retarget,t5_boundary_axis_retarget,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,280706,False,True,False,False,False,False,False,False,False,False,False,False,False,280706,m2807-resolution-0007,m2807-cross-axis-candidate-0007,True,12,late_boundary_or_near_boundary,late_boundary_or_near_boundary;curved_or_retargeted_obstacle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2807 Route A post-clearance negative non-same-repair cross-axis bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-repair M1690 L3_online_gru rows, while M2737/M2746/M2753 prior-surface rows, M2799/M2801 same-clearance repair rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
280707,checkpoint,82,True,False,0.5899158973787297,0.5899158973787297,1715.759881721843,1.1832826770495468,0.943772586071049,-0.107055247707176,1.1526357229001953,0.8714831815816998,0.8660788093628151,1.4290823514615476,1.4290823514615476,,False,True,aeb_feasible,False,False,7.249564048220598,1.616836220850502,5.632727827370095,off_track,False,off_track,off_track_noncollision_noncompletion,31.296102995617215,0.38165979262947825,2.4124114362108044,5.093186000444582,0.4680987936721019,0.014471867489637772,0.0,9.926712702059481,0.0014231324894353747,0.2049129754304886,0.21842049062252045,0.20741479098796844,0.21842049062252045,0.0033762664901498683,0.1615801304578781,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,1,,,0.02,5.0,,,,,False,,0.014471867489637772,0.40276197239409645,False,False,,,,,0.0,0.09318600044458236,1.6400000000000001,0.09318600044458236,,False,,False,,False,,False,,,False,,False,,False,False,False,82,2.4124114362108044,0.4680987936721019,9.926712702059481,0.38165979262947825,0,,,,,0,,,,,m1680-spec-0051::L3_online_gru,m1680-spec-0051,L3_online_gru,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T5,t5_near_boundary_warmup,t5_near_boundary_warmup,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,280707,False,True,False,False,False,False,False,False,False,False,False,False,False,280707,m2807-resolution-0008,m2807-cross-axis-candidate-0008,True,12,actuator_delay_or_response,actuator_delay_or_response;late_boundary_or_near_boundary,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2807 Route A post-clearance negative non-same-repair cross-axis bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-repair M1690 L3_online_gru rows, while M2737/M2746/M2753 prior-surface rows, M2799/M2801 same-clearance repair rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
280708,checkpoint,75,True,False,1.011821651991884,1.011821651991884,1522.8252091254524,1.0502242821554844,1.116951661500482,0.00011978178129190553,1.0939502466368274,0.9553838847012734,1.0875919101489941,0.9582245463640461,0.9582245463640461,,False,True,aeb_feasible,False,False,7.190971665797668,1.6374325097467994,5.553539156050869,off_track,False,off_track,off_track_noncollision_noncompletion,40.98560972013261,0.5464747962684348,2.2235072523969963,5.049689200435839,0.3856398325095713,0.029402868319959294,0.0,12.293684898299945,0.0015984091442078352,0.20444944500923157,0.218820720911026,0.2071676254272461,0.218820720911026,0.00373998594955386,0.1622166782617569,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,1,,,0.02,5.0,,,,,False,,0.029402868319959294,0.5185503640676372,False,False,,,,,0.0,0.049689200435839354,1.5,0.049689200435839354,,False,,False,,False,,False,,,False,,False,,False,False,False,75,2.2235072523969963,0.3856398325095713,12.293684898299945,0.5464747962684348,0,,,,,0,,,,,m1680-spec-0052::L3_online_gru,m1680-spec-0052,L3_online_gru,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,all_72_specs;explicit_window_subset;task_family_T5,t5_near_boundary_warmup,t5_near_boundary_warmup,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,280708,False,True,False,False,False,False,False,False,False,False,False,False,False,280708,m2807-resolution-0009,m2807-cross-axis-candidate-0009,True,12,capability_step_or_authority,capability_step_or_authority;late_boundary_or_near_boundary,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2807 Route A post-clearance negative non-same-repair cross-axis bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-repair M1690 L3_online_gru rows, while M2737/M2746/M2753 prior-surface rows, M2799/M2801 same-clearance repair rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
280709,checkpoint,68,False,True,0.7918268814196645,0.7918268814196645,1663.8987240821468,1.1475163614359634,0.9594800650535312,-0.09184884460849285,1.4250359654393652,0.7687342962056373,0.845748012193819,1.4038760250316042,1.4038760250316042,,False,True,aeb_feasible,False,True,2.6744889389335125,1.6811097224152598,0.9933792165182527,,True,obstacle_pass,success_obstacle_pass,65.98305787534238,0.9703390864020939,0.8265257223465261,2.092784171810951,0.6027854138241315,0.06940136412199024,0.0,10.046791567429084,0.001646394026465714,0.20756728947162628,0.222375750541687,0.21055322885513306,0.222375750541687,0.004062931506375796,0.16597093641757965,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,1,,,0.02,5.0,68.0,1.36,68.0,1.36,True,0.0,0.06940136412199024,0.46782284762256166,False,True,,,,,0.0,0.0,,0.0,,False,,False,,False,,False,,,False,,False,,False,False,False,68,0.8265257223465261,0.6027854138241315,10.046791567429084,0.9703390864020939,0,,,,,0,,,,,m1680-spec-0053::L3_online_gru,m1680-spec-0053,L3_online_gru,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,all_72_specs;explicit_window_subset;task_family_T5,t5_boundary_axis_retarget,t5_boundary_axis_retarget,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,280709,False,True,False,False,False,False,False,False,False,False,False,False,True,280709,m2807-resolution-0010,m2807-cross-axis-candidate-0010,True,12,curved_or_retargeted_obstacle,late_boundary_or_near_boundary;curved_or_retargeted_obstacle,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2807 Route A post-clearance negative non-same-repair cross-axis bounded execution preflight only; reset, step, rollout, and policy actions may be recorded for the 12 selected non-same-repair M1690 L3_online_gru rows, while M2737/M2746/M2753 prior-surface rows, M2799/M2801 same-clearance repair rows, protected blocker rows, and HF3 blocker rows remain guardrails outside execution and success denominators. No replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made","repair success, driver performance, validation readiness or result, controller-family ranking, source-family ranking, task-family ranking, stress-axis ranking, profile ranking, winner selection, checkpoint promotion, success-rate verdict, paper evidence, finite-window-vs-GRU conclusion, current-sim verdict, high-fidelity validation readiness or result, full ideal driver completion, or level3 self-identification"
