containment_id,localization_id,candidate_id,task_source_id,task_family,source_edge,stress_axis_primary,min_clearance_margin,time_to_first_off_track_s,off_track_severity_proxy,max_off_track_overshoot,recoverability_window_success,recoverability_window_success_available,success,collision,offtrack_noncollision,containment_family,diagnostic_only_no_verdict,ranking_claim_made,actor_visible_allowed,claim_scope
m2810-offtrack-containment-0001,m2810-localization-0001,m2807-cross-axis-candidate-0001,m1680-spec-0014,T4,actuator_delay_step|capability_step_up,actuator_delay_or_response,7.417666972670629,2.52,0.05596457372976005,0.05596457372976005,False,False,False,False,True,positive_clearance_offtrack_containment_failure,True,False,False,"M2810 Route A post-clearance negative non-same-repair offtrack-containment localization panel materialization only; existing M2807/M2809 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2810-offtrack-containment-0002,m2810-localization-0002,m2807-cross-axis-candidate-0002,m1680-spec-0016,T4,capability_step_down|t4_actuator_delay_response,capability_step_or_authority,16.058239731599393,2.2,0.05290470852221674,0.05290470852221674,False,False,False,False,True,positive_clearance_offtrack_containment_failure,True,False,False,"M2810 Route A post-clearance negative non-same-repair offtrack-containment localization panel materialization only; existing M2807/M2809 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2810-offtrack-containment-0003,m2810-localization-0003,m2807-cross-axis-candidate-0003,m1680-spec-0018,T4,t4_actuator_delay_response|capability_step_up,actuator_delay_or_response,5.823016100450737,2.04,0.10745628181320654,0.10745628181320654,False,False,False,False,True,positive_clearance_offtrack_containment_failure,True,False,False,"M2810 Route A post-clearance negative non-same-repair offtrack-containment localization panel materialization only; existing M2807/M2809 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2810-offtrack-containment-0004,m2810-localization-0004,m2807-cross-axis-candidate-0004,m1680-spec-0022,T4,actuator_delay_step|t4_capability_step_temporal,actuator_delay_or_response,1.1863952344395712,1.44,0.1127311740823771,0.1127311740823771,False,False,False,False,True,early_offtrack_containment_failure,True,False,False,"M2810 Route A post-clearance negative non-same-repair offtrack-containment localization panel materialization only; existing M2807/M2809 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2810-offtrack-containment-0005,m2810-localization-0005,m2807-cross-axis-candidate-0005,m1680-spec-0026,T4,t4_capability_step_temporal|capability_step_down,capability_step_or_authority,20.479215286353096,2.1,0.09098080629605931,0.09098080629605931,False,False,False,False,True,positive_clearance_offtrack_containment_failure,True,False,False,"M2810 Route A post-clearance negative non-same-repair offtrack-containment localization panel materialization only; existing M2807/M2809 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2810-offtrack-containment-0006,m2810-localization-0006,m2807-cross-axis-candidate-0006,m1680-spec-0032,T4,t4_actuator_delay_response|capability_step_up,actuator_delay_or_response,3.0292945009118317,1.82,0.06535876651530259,0.06535876651530259,False,False,False,False,True,positive_clearance_offtrack_containment_failure,True,False,False,"M2810 Route A post-clearance negative non-same-repair offtrack-containment localization panel materialization only; existing M2807/M2809 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2810-offtrack-containment-0007,m2810-localization-0007,m2807-cross-axis-candidate-0007,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,late_boundary_or_near_boundary,16.28865305303902,1.3800000000000001,0.0772862977093709,0.0772862977093709,False,False,False,False,True,early_offtrack_containment_failure,True,False,False,"M2810 Route A post-clearance negative non-same-repair offtrack-containment localization panel materialization only; existing M2807/M2809 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2810-offtrack-containment-0008,m2810-localization-0008,m2807-cross-axis-candidate-0008,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_or_response,5.632727827370095,1.6400000000000001,0.09318600044458236,0.09318600044458236,False,False,False,False,True,positive_clearance_offtrack_containment_failure,True,False,False,"M2810 Route A post-clearance negative non-same-repair offtrack-containment localization panel materialization only; existing M2807/M2809 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2810-offtrack-containment-0009,m2810-localization-0009,m2807-cross-axis-candidate-0009,m1680-spec-0052,T5,capability_step_down|t5_near_boundary_warmup,capability_step_or_authority,5.553539156050869,1.5,0.049689200435839354,0.049689200435839354,False,False,False,False,True,early_offtrack_containment_failure,True,False,False,"M2810 Route A post-clearance negative non-same-repair offtrack-containment localization panel materialization only; existing M2807/M2809 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2810-offtrack-containment-0010,m2810-localization-0012,m2807-cross-axis-candidate-0012,m1680-spec-0063,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_or_response,2.1281482664450855,1.9000000000000001,0.057263270844959635,0.057263270844959635,False,False,False,False,True,positive_clearance_offtrack_containment_failure,True,False,False,"M2810 Route A post-clearance negative non-same-repair offtrack-containment localization panel materialization only; existing M2807/M2809 artifacts are reanalyzed into row-level diagnostic context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
