mechanism_id,localization_id,candidate_id,resolution_id,task_source_id,task_family,source_edge,stress_axis_primary,outcome_family,success,collision,offtrack_noncollision,min_clearance_margin,speed_mean,action_rate_mean,previous_command_norm_mean,previous_command_norm_peak,current_action_norm_mean,current_action_norm_peak,action_trace_delta_mean,action_trace_delta_peak,previous_command_bootstrap_count,previous_command_source,action_trace_delta_source,plan_action_rate_mean,plan_first_action_error_mean,time_to_first_off_track_s,off_track_severity_proxy,max_off_track_overshoot,recoverability_window_success,recoverability_window_success_available,mechanism_context_family,metric_context_available,diagnostic_only_no_verdict,ranking_claim_made,actor_visible_allowed,claim_scope
m2813-action-response-mechanism-0001,m2810-localization-0001,m2807-cross-axis-candidate-0001,m2807-resolution-0001,m1680-spec-0014,T4,actuator_delay_step|capability_step_up,actuator_delay_or_response,offtrack_positive_clearance,False,False,True,7.417666972670629,8.005599231020183,0.001021112664602697,0.21264366805553436,0.22717049717903137,0.2143024057149887,0.22717049717903137,0.0023372298520472315,0.16685187816619873,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,,,2.52,0.05596457372976005,0.05596457372976005,False,False,action_trace_delta_context,True,True,False,False,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-action-response-mechanism-0002,m2810-localization-0002,m2807-cross-axis-candidate-0002,m2807-resolution-0002,m1680-spec-0016,T4,capability_step_down|t4_actuator_delay_response,capability_step_or_authority,offtrack_positive_clearance,False,False,True,16.058239731599393,8.749679072196479,0.0010696391109377146,0.20467588305473328,0.21537016332149506,0.20651856064796448,0.21537016332149506,0.0025383828031904573,0.16263143718242645,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,,,2.2,0.05290470852221674,0.05290470852221674,False,False,action_trace_delta_context,True,True,False,False,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-action-response-mechanism-0003,m2810-localization-0003,m2807-cross-axis-candidate-0003,m2807-resolution-0003,m1680-spec-0018,T4,t4_actuator_delay_response|capability_step_up,actuator_delay_or_response,offtrack_positive_clearance,False,False,True,5.823016100450737,9.03838666416933,0.0012117528822273016,0.20389214158058167,0.22005388140678406,0.20587435364723206,0.22005388140678406,0.002799802454783097,0.16319282352924347,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,,,2.04,0.10745628181320654,0.10745628181320654,False,False,action_trace_delta_context,True,True,False,False,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-action-response-mechanism-0004,m2810-localization-0004,m2807-cross-axis-candidate-0004,m2807-resolution-0004,m1680-spec-0022,T4,actuator_delay_step|t4_capability_step_temporal,actuator_delay_or_response,offtrack_positive_clearance,False,False,True,1.1863952344395712,11.326851495728429,0.001735839992761612,0.21191726624965668,0.22557766735553741,0.2148502916097641,0.22557766735553741,0.0039295714891017675,0.15968450903892517,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,,,1.44,0.1127311740823771,0.1127311740823771,False,False,early_offtrack_action_response_context,True,True,False,False,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-action-response-mechanism-0005,m2810-localization-0005,m2807-cross-axis-candidate-0005,m2807-resolution-0005,m1680-spec-0026,T4,t4_capability_step_temporal|capability_step_down,capability_step_or_authority,offtrack_positive_clearance,False,False,True,20.479215286353096,9.697815024952241,0.0011346673127263784,0.20485541224479675,0.2185535877943039,0.20678327977657318,0.2185535877943039,0.0026945652890606737,0.16492396593093872,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,,,2.1,0.09098080629605931,0.09098080629605931,False,False,action_trace_delta_context,True,True,False,False,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-action-response-mechanism-0006,m2810-localization-0006,m2807-cross-axis-candidate-0006,m2807-resolution-0006,m1680-spec-0032,T4,t4_actuator_delay_response|capability_step_up,actuator_delay_or_response,offtrack_positive_clearance,False,False,True,3.0292945009118317,10.39160852156308,0.001342265633866191,0.20711953938007355,0.2221755087375641,0.2093762755393982,0.2221755087375641,0.003145536037474093,0.16543987393379211,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,,,1.82,0.06535876651530259,0.06535876651530259,False,False,action_trace_delta_context,True,True,False,False,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-action-response-mechanism-0007,m2810-localization-0007,m2807-cross-axis-candidate-0007,m2807-resolution-0007,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,late_boundary_or_near_boundary,offtrack_positive_clearance,False,False,True,16.28865305303902,11.617448284517522,0.0015495618572458625,0.2005964070558548,0.21242710947990417,0.2034967690706253,0.21242710947990417,0.0038354668493780805,0.15927700698375702,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,,,1.3800000000000001,0.0772862977093709,0.0772862977093709,False,False,early_offtrack_action_response_context,True,True,False,False,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-action-response-mechanism-0008,m2810-localization-0008,m2807-cross-axis-candidate-0008,m2807-resolution-0008,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_or_response,offtrack_positive_clearance,False,False,True,5.632727827370095,9.926712702059481,0.0014231324894353747,0.2049129754304886,0.21842049062252045,0.20741479098796844,0.21842049062252045,0.0033762664901498683,0.1615801304578781,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,,,1.6400000000000001,0.09318600044458236,0.09318600044458236,False,False,action_trace_delta_context,True,True,False,False,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-action-response-mechanism-0009,m2810-localization-0009,m2807-cross-axis-candidate-0009,m2807-resolution-0009,m1680-spec-0052,T5,capability_step_down|t5_near_boundary_warmup,capability_step_or_authority,offtrack_positive_clearance,False,False,True,5.553539156050869,12.293684898299945,0.0015984091442078352,0.20444944500923157,0.218820720911026,0.2071676254272461,0.218820720911026,0.00373998594955386,0.1622166782617569,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,,,1.5,0.049689200435839354,0.049689200435839354,False,False,early_offtrack_action_response_context,True,True,False,False,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-action-response-mechanism-0010,m2810-localization-0010,m2807-cross-axis-candidate-0010,m2807-resolution-0010,m1680-spec-0053,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,curved_or_retargeted_obstacle,success_obstacle_pass,True,False,False,0.9933792165182527,10.046791567429084,0.001646394026465714,0.20756728947162628,0.222375750541687,0.21055322885513306,0.222375750541687,0.004062931506375796,0.16597093641757965,1,policy_action_trace_zero_bootstrap,current_action_minus_previous_command,,,,0.0,0.0,False,False,success_obstacle_pass_action_response_context,True,True,False,False,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
