guardrail_context_id,guardrail_source,guardrail_source_id,task_source_id,blocker_id,route,evidence_family,row_count,blocking_count,execution_candidate,execution_admitted,execution_run,ordinary_success_denominator_allowed,protected_rows_in_success_denominator,actor_visible_allowed,diagnostic_only_no_verdict,guardrail_role,claim_scope
m2813-guardrail-context-0001,prior_panel_exclusion,m2807-prior-surface-exclusion-0001,m1680-spec-0000,,Route A,m2737_candidate_execution_rows,2,0,False,False,False,False,False,False,True,prior_panel_nonexecuted_guardrail_outside_denominator,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-guardrail-context-0002,prior_panel_exclusion,m2807-prior-surface-exclusion-0002,m1680-spec-0002,,Route A,m2737_candidate_execution_rows,2,0,False,False,False,False,False,False,True,prior_panel_nonexecuted_guardrail_outside_denominator,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-guardrail-context-0003,prior_panel_exclusion,m2807-prior-surface-exclusion-0003,m1680-spec-0004,,Route A,m2737_candidate_execution_rows,2,0,False,False,False,False,False,False,True,prior_panel_nonexecuted_guardrail_outside_denominator,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-guardrail-context-0004,prior_panel_exclusion,m2807-prior-surface-exclusion-0004,m1680-spec-0005,,Route A,m2737_candidate_execution_rows,2,0,False,False,False,False,False,False,True,prior_panel_nonexecuted_guardrail_outside_denominator,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-guardrail-context-0005,prior_panel_exclusion,m2807-prior-surface-exclusion-0005,m1680-spec-0006,,Route A,m2737_candidate_execution_rows,2,0,False,False,False,False,False,False,True,prior_panel_nonexecuted_guardrail_outside_denominator,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-guardrail-context-0006,prior_panel_exclusion,m2807-prior-surface-exclusion-0006,m1680-spec-0036,,Route A,m2737_candidate_execution_rows,2,0,False,False,False,False,False,False,True,prior_panel_nonexecuted_guardrail_outside_denominator,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-guardrail-context-0007,prior_panel_exclusion,m2807-prior-surface-exclusion-0007,m1680-spec-0038,,Route A,m2737_candidate_execution_rows,2,0,False,False,False,False,False,False,True,prior_panel_nonexecuted_guardrail_outside_denominator,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-guardrail-context-0008,prior_panel_exclusion,m2807-prior-surface-exclusion-0008,m1680-spec-0040,,Route A,m2737_candidate_execution_rows,2,0,False,False,False,False,False,False,True,prior_panel_nonexecuted_guardrail_outside_denominator,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-guardrail-context-0009,prior_panel_exclusion,m2807-prior-surface-exclusion-0009,m1680-spec-0041,,Route A,m2737_candidate_execution_rows,2,0,False,False,False,False,False,False,True,prior_panel_nonexecuted_guardrail_outside_denominator,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2813-guardrail-context-0010,prior_panel_exclusion,m2807-prior-surface-exclusion-0010,m1680-spec-0000,,Route A,m2746_candidate_execution_rows,2,0,False,False,False,False,False,False,True,prior_panel_nonexecuted_guardrail_outside_denominator,"M2813 Route A post-clearance negative non-same-repair offtrack-containment action-response mechanism panel materialization only; existing M2807/M2810/M2812 artifacts are reanalyzed into diagnostic row-level mechanism context while no reset, step, rollout, replay, validation, training, PPO, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
