post_action_response_id,mechanism_id,candidate_id,resolution_id,task_source_id,task_family,source_edge,stress_axis_primary,source_outcome_family,outcome_family,metric_context_available,previous_command_norm_mean,previous_command_norm_peak,current_action_norm_mean,current_action_norm_peak,action_trace_delta_mean,action_trace_delta_peak,action_rate_mean,speed_mean,time_to_first_off_track_s,post_event_speed_mps,post_event_speed_mps_available,post_event_yaw_rate_abs,post_event_yaw_rate_abs_available,post_event_offtrack_overshoot,post_event_offtrack_overshoot_available,recoverability_window_success,recoverability_window_success_available,diagnostic_only_no_verdict,ranking_claim_made,actor_visible_allowed,claim_scope
m2816-post-offtrack-action-response-0001,m2813-action-response-mechanism-0001,m2807-cross-axis-candidate-0001,m2807-resolution-0001,m1680-spec-0014,T4,actuator_delay_step|capability_step_up,actuator_delay_or_response,offtrack_positive_clearance,offtrack_hard_termination,True,0.20426690578460693,0.21672001481056213,0.20645081996917725,0.21672001481056213,0.0029999703401699662,0.1613704413175583,0.0012785521103069186,10.302077693408439,1.7,11.553238531884219,True,0.19302381447648,True,1.0267555580394685,True,False,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-post-offtrack-action-response-0002,m2813-action-response-mechanism-0002,m2807-cross-axis-candidate-0002,m2807-resolution-0002,m1680-spec-0016,T4,capability_step_down|t4_actuator_delay_response,capability_step_or_authority,offtrack_positive_clearance,offtrack_hard_termination,True,0.20483554899692535,0.21444204449653625,0.20727305114269257,0.21444204449653625,0.0031950980323710524,0.15991343557834625,0.0013069253182038665,10.422236680170903,1.5,11.827645171091417,True,0.21363515736753944,True,1.0854409229191937,True,False,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-post-offtrack-action-response-0003,m2813-action-response-mechanism-0003,m2807-cross-axis-candidate-0003,m2807-resolution-0003,m1680-spec-0018,T4,t4_actuator_delay_response|capability_step_up,actuator_delay_or_response,offtrack_positive_clearance,success_obstacle_pass,True,0.20571094751358032,0.22571711242198944,0.20820340514183044,0.22571711242198944,0.0036396954016742747,0.1617940068244934,0.0016627663280814886,11.716122962529141,1.54,12.847856256347,True,0.18688793719826083,True,0.651448574671786,True,False,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-post-offtrack-action-response-0004,m2813-action-response-mechanism-0004,m2807-cross-axis-candidate-0004,m2807-resolution-0004,m1680-spec-0022,T4,actuator_delay_step|t4_capability_step_temporal,actuator_delay_or_response,offtrack_positive_clearance,success_obstacle_pass,True,0.2098207324743271,0.22585734724998474,0.21171189844608307,0.22585734724998474,0.002689635717265154,0.16412736475467682,0.00119484169408679,9.014981832513444,2.08,9.533875955075152,True,0.15882662049678642,True,0.6043386177635419,True,False,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-post-offtrack-action-response-0005,m2813-action-response-mechanism-0005,m2807-cross-axis-candidate-0005,m2807-resolution-0005,m1680-spec-0026,T4,t4_capability_step_temporal|capability_step_down,capability_step_or_authority,offtrack_positive_clearance,success_obstacle_pass,True,0.20031900703907013,0.2099030464887619,0.20236635208129883,0.2099030464887619,0.002800514383125119,0.1630251556634903,0.001113939331844449,8.434619395751207,,,False,,False,,False,False,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-post-offtrack-action-response-0006,m2813-action-response-mechanism-0006,m2807-cross-axis-candidate-0006,m2807-resolution-0006,m1680-spec-0032,T4,t4_actuator_delay_response|capability_step_up,actuator_delay_or_response,offtrack_positive_clearance,offtrack_hard_termination,True,0.20219500362873077,0.21515002846717834,0.20391181111335754,0.21515002846717834,0.0024124675357722254,0.16336163878440857,0.0010249746264889836,8.7440491977315,2.18,10.580311073671577,True,0.16502142418196258,True,1.030599150335675,True,False,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-post-offtrack-action-response-0007,m2813-action-response-mechanism-0007,m2807-cross-axis-candidate-0007,m2807-resolution-0007,m1680-spec-0048,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,late_boundary_or_near_boundary,offtrack_positive_clearance,success_obstacle_pass,True,0.21399307250976562,0.22562392055988312,0.21574494242668152,0.22562392055988312,0.0023876976180569423,0.16388815641403198,0.0010305509204044938,7.898087180587373,2.4,,False,,False,,False,False,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-post-offtrack-action-response-0008,m2813-action-response-mechanism-0008,m2807-cross-axis-candidate-0008,m2807-resolution-0008,m1680-spec-0051,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_or_response,offtrack_positive_clearance,success_obstacle_pass,True,0.2015022337436676,0.22148440778255463,0.20441901683807373,0.22148440778255463,0.00422590991237324,0.16410627961158752,0.001839635893702507,13.201706027329564,,,False,,False,,False,False,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-post-offtrack-action-response-0009,m2813-action-response-mechanism-0009,m2807-cross-axis-candidate-0009,m2807-resolution-0009,m1680-spec-0052,T5,capability_step_down|t5_near_boundary_warmup,capability_step_or_authority,offtrack_positive_clearance,offtrack_hard_termination,True,0.20219813287258148,0.21860557794570923,0.20453085005283356,0.21860557794570923,0.003289798416094421,0.16236622631549835,0.0014183111488819122,11.00358156088736,1.58,12.547768377627595,True,0.20048194428415841,True,1.0510958593701467,True,False,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-post-offtrack-action-response-0010,m2813-action-response-mechanism-0010,m2807-cross-axis-candidate-0010,m2807-resolution-0010,m1680-spec-0053,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,curved_or_retargeted_obstacle,success_obstacle_pass,offtrack_hard_termination,True,0.20158003270626068,0.2182389199733734,0.20353250205516815,0.2182389199733734,0.0027518408711157028,0.16256241500377655,0.0012152008712291718,9.394159241925912,1.9000000000000001,10.622370548799179,True,1.6028136126582053,True,1.0060161154197296,True,False,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
