recoverability_id,mechanism_id,localization_id,candidate_id,resolution_id,task_source_id,workload_id,profile_name,task_family,source_edge,stress_axis_primary,stress_axis_tags,source_outcome_family,outcome_family,success,collision,obstacle_completed,termination_reason,outcome_bucket,steps,return,min_clearance_margin,speed_mean,action_rate_mean,previous_command_norm_mean,current_action_norm_mean,action_trace_delta_mean,time_to_first_off_track_s,max_off_track_overshoot,off_track_severity_proxy,post_event_speed_mps,post_event_speed_mps_available,post_event_yaw_rate_abs,post_event_yaw_rate_abs_available,post_event_offtrack_overshoot,post_event_offtrack_overshoot_available,recoverability_window_success,recoverability_window_success_available,recoverability_window_steps,m2816_eval_seed,horizon_steps,soft_offtrack_metric_enabled,soft_offtrack_tolerance_m,bounded_execution_admitted,execution_failure,diagnostic_only_no_verdict,ranking_claim_made,actor_visible_allowed,claim_scope
m2816-recoverability-window-0001,m2813-action-response-mechanism-0001,m2810-localization-0001,m2807-cross-axis-candidate-0001,m2807-resolution-0001,m1680-spec-0014,m1680-spec-0014::L3_online_gru,L3_online_gru,T4,actuator_delay_step|capability_step_up,actuator_delay_or_response,,offtrack_positive_clearance,offtrack_hard_termination,False,False,False,off_track,off_track_noncollision_noncompletion,93,27.348024188286686,17.37324535003832,10.302077693408439,0.0012785521103069186,0.20426690578460693,0.20645081996917725,0.0029999703401699662,1.7,1.0267555580394685,1.0267555580394685,11.553238531884219,True,0.19302381447648,True,1.0267555580394685,True,False,False,40,281600,180,True,1.0,True,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-recoverability-window-0002,m2813-action-response-mechanism-0002,m2810-localization-0002,m2807-cross-axis-candidate-0002,m2807-resolution-0002,m1680-spec-0016,m1680-spec-0016::L3_online_gru,L3_online_gru,T4,capability_step_down|t4_actuator_delay_response,capability_step_or_authority,,offtrack_positive_clearance,offtrack_hard_termination,False,False,False,off_track,off_track_noncollision_noncompletion,84,16.92146429905093,18.280256690111184,10.422236680170903,0.0013069253182038665,0.20483554899692535,0.20727305114269257,0.0031950980323710524,1.5,1.0854409229191937,1.0854409229191937,11.827645171091417,True,0.21363515736753944,True,1.0854409229191937,True,False,False,40,281601,180,True,1.0,True,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-recoverability-window-0003,m2813-action-response-mechanism-0003,m2810-localization-0003,m2807-cross-axis-candidate-0003,m2807-resolution-0003,m1680-spec-0018,m1680-spec-0018::L3_online_gru,L3_online_gru,T4,t4_actuator_delay_response|capability_step_up,actuator_delay_or_response,,offtrack_positive_clearance,success_obstacle_pass,True,False,True,,success_obstacle_pass,81,27.43071166152528,1.422861891991074,11.716122962529141,0.0016627663280814886,0.20571094751358032,0.20820340514183044,0.0036396954016742747,1.54,0.651448574671786,0.651448574671786,12.847856256347,True,0.18688793719826083,True,0.651448574671786,True,False,False,40,281602,180,True,1.0,True,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-recoverability-window-0004,m2813-action-response-mechanism-0004,m2810-localization-0004,m2807-cross-axis-candidate-0004,m2807-resolution-0004,m1680-spec-0022,m1680-spec-0022::L3_online_gru,L3_online_gru,T4,actuator_delay_step|t4_capability_step_temporal,actuator_delay_or_response,,offtrack_positive_clearance,success_obstacle_pass,True,False,True,,success_obstacle_pass,109,33.208919856770365,2.759978236238042,9.014981832513444,0.00119484169408679,0.2098207324743271,0.21171189844608307,0.002689635717265154,2.08,0.6043386177635419,0.6043386177635419,9.533875955075152,True,0.15882662049678642,True,0.6043386177635419,True,False,False,40,281603,180,True,1.0,True,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-recoverability-window-0005,m2813-action-response-mechanism-0005,m2810-localization-0005,m2807-cross-axis-candidate-0005,m2807-resolution-0005,m1680-spec-0026,m1680-spec-0026::L3_online_gru,L3_online_gru,T4,t4_capability_step_temporal|capability_step_down,capability_step_or_authority,,offtrack_positive_clearance,success_obstacle_pass,True,False,True,,success_obstacle_pass,96,114.22028392328542,4.307568420609052,8.434619395751207,0.001113939331844449,0.20031900703907013,0.20236635208129883,0.002800514383125119,,0.0,0.0,,False,,False,,False,False,False,40,281604,180,True,1.0,True,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-recoverability-window-0006,m2813-action-response-mechanism-0006,m2810-localization-0006,m2807-cross-axis-candidate-0006,m2807-resolution-0006,m1680-spec-0032,m1680-spec-0032::L3_online_gru,L3_online_gru,T4,t4_actuator_delay_response|capability_step_up,actuator_delay_or_response,,offtrack_positive_clearance,offtrack_hard_termination,False,False,False,off_track,off_track_noncollision_noncompletion,117,61.17504235010026,12.013542330606212,8.7440491977315,0.0010249746264889836,0.20219500362873077,0.20391181111335754,0.0024124675357722254,2.18,1.030599150335675,1.030599150335675,10.580311073671577,True,0.16502142418196258,True,1.030599150335675,True,False,False,40,281605,180,True,1.0,True,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-recoverability-window-0007,m2813-action-response-mechanism-0007,m2810-localization-0007,m2807-cross-axis-candidate-0007,m2807-resolution-0007,m1680-spec-0048,m1680-spec-0048::L3_online_gru,L3_online_gru,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,late_boundary_or_near_boundary,,offtrack_positive_clearance,success_obstacle_pass,True,False,True,,success_obstacle_pass,120,53.23935883606811,2.4494127582195504,7.898087180587373,0.0010305509204044938,0.21399307250976562,0.21574494242668152,0.0023876976180569423,2.4,0.00585151912522619,0.00585151912522619,,False,,False,,False,False,False,40,281606,180,True,1.0,True,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-recoverability-window-0008,m2813-action-response-mechanism-0008,m2810-localization-0008,m2807-cross-axis-candidate-0008,m2807-resolution-0008,m1680-spec-0051,m1680-spec-0051::L3_online_gru,L3_online_gru,T5,actuator_delay_step|t5_near_boundary_warmup,actuator_delay_or_response,,offtrack_positive_clearance,success_obstacle_pass,True,False,True,,success_obstacle_pass,68,54.62336926570771,3.006802024084744,13.201706027329564,0.001839635893702507,0.2015022337436676,0.20441901683807373,0.00422590991237324,,0.0,0.0,,False,,False,,False,False,False,40,281607,180,True,1.0,True,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-recoverability-window-0009,m2813-action-response-mechanism-0009,m2810-localization-0009,m2807-cross-axis-candidate-0009,m2807-resolution-0009,m1680-spec-0052,m1680-spec-0052::L3_online_gru,L3_online_gru,T5,capability_step_down|t5_near_boundary_warmup,capability_step_or_authority,,offtrack_positive_clearance,offtrack_hard_termination,False,False,False,off_track,off_track_noncollision_noncompletion,86,12.80903691003003,4.970422529019266,11.00358156088736,0.0014183111488819122,0.20219813287258148,0.20453085005283356,0.003289798416094421,1.58,1.0510958593701467,1.0510958593701467,12.547768377627595,True,0.20048194428415841,True,1.0510958593701467,True,False,False,40,281608,180,True,1.0,True,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2816-recoverability-window-0010,m2813-action-response-mechanism-0010,m2810-localization-0010,m2807-cross-axis-candidate-0010,m2807-resolution-0010,m1680-spec-0053,m1680-spec-0053::L3_online_gru,L3_online_gru,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,curved_or_retargeted_obstacle,,success_obstacle_pass,offtrack_hard_termination,False,False,False,off_track,off_track_noncollision_noncompletion,105,31.809614543041874,9.764344366278188,9.394159241925912,0.0012152008712291718,0.20158003270626068,0.20353250205516815,0.0027518408711157028,1.9000000000000001,1.0060161154197296,1.0060161154197296,10.622370548799179,True,1.6028136126582053,True,1.0060161154197296,True,False,False,40,281609,180,True,1.0,True,False,True,False,False,"M2816 Route A post-action-response recoverability-window instrumented bounded execution preflight only; fixed M2813/M2807 rows may be rerun with evaluator-only soft-offtrack metric instrumentation to materialize recoverability-window and post-offtrack action-response diagnostics. No replay, validation, training, PPO, repair, source build, adapter probe, external simulation, ranking, winner selection, promotion, success-rate verdict, repair-success, driver-performance, paper, finite-window-vs-GRU, current-sim, high-fidelity validation, full ideal driver, or self-ID claim is made"
