rejection_id,source_execution_admission_candidate_id,source_milestone,source_artifact,source_row_id,rejection_type,rejection_reason,required_follow_up,actor_visible,claim_scope
m2956-rejection-0001,m2916-execution-admission-candidate-0057,m2877,runs/m2877_engineering_controller_route_a_post_package_refresh_fresh_closed_loop_evidence_preflight/candidate_execution_rows.csv,m2877-fresh-candidate-0001,actor_head_delta_execution_admission_blocked_stale_fixed_surface,source M2916 status execution_admission_blocked_stale_fixed_surface is not admitted for actor-head delta materialization,repair or stop before any execution if this row is needed,False,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-rejection-0002,m2916-execution-admission-candidate-0058,m2877,runs/m2877_engineering_controller_route_a_post_package_refresh_fresh_closed_loop_evidence_preflight/candidate_execution_rows.csv,m2877-fresh-candidate-0002,actor_head_delta_execution_admission_blocked_stale_fixed_surface,source M2916 status execution_admission_blocked_stale_fixed_surface is not admitted for actor-head delta materialization,repair or stop before any execution if this row is needed,False,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-rejection-0003,m2916-execution-admission-candidate-0059,m2877,runs/m2877_engineering_controller_route_a_post_package_refresh_fresh_closed_loop_evidence_preflight/candidate_execution_rows.csv,m2877-fresh-candidate-0003,actor_head_delta_execution_admission_blocked_stale_fixed_surface,source M2916 status execution_admission_blocked_stale_fixed_surface is not admitted for actor-head delta materialization,repair or stop before any execution if this row is needed,False,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-rejection-0004,m2916-execution-admission-candidate-0060,m2877,runs/m2877_engineering_controller_route_a_post_package_refresh_fresh_closed_loop_evidence_preflight/candidate_execution_rows.csv,m2877-fresh-candidate-0004,actor_head_delta_execution_admission_blocked_stale_fixed_surface,source M2916 status execution_admission_blocked_stale_fixed_surface is not admitted for actor-head delta materialization,repair or stop before any execution if this row is needed,False,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-rejection-0005,m2916-execution-admission-candidate-0061,m2877,runs/m2877_engineering_controller_route_a_post_package_refresh_fresh_closed_loop_evidence_preflight/candidate_execution_rows.csv,m2877-fresh-candidate-0005,actor_head_delta_execution_admission_blocked_stale_fixed_surface,source M2916 status execution_admission_blocked_stale_fixed_surface is not admitted for actor-head delta materialization,repair or stop before any execution if this row is needed,False,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-rejection-0006,m2916-execution-admission-candidate-0062,m2877,runs/m2877_engineering_controller_route_a_post_package_refresh_fresh_closed_loop_evidence_preflight/candidate_execution_rows.csv,m2877-fresh-candidate-0006,actor_head_delta_execution_admission_blocked_stale_fixed_surface,source M2916 status execution_admission_blocked_stale_fixed_surface is not admitted for actor-head delta materialization,repair or stop before any execution if this row is needed,False,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-rejection-0007,m2916-execution-admission-candidate-0063,m2877,runs/m2877_engineering_controller_route_a_post_package_refresh_fresh_closed_loop_evidence_preflight/candidate_execution_rows.csv,m2877-fresh-candidate-0007,actor_head_delta_execution_admission_blocked_stale_fixed_surface,source M2916 status execution_admission_blocked_stale_fixed_surface is not admitted for actor-head delta materialization,repair or stop before any execution if this row is needed,False,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-rejection-0008,m2916-execution-admission-candidate-0064,m2877,runs/m2877_engineering_controller_route_a_post_package_refresh_fresh_closed_loop_evidence_preflight/candidate_execution_rows.csv,m2877-fresh-candidate-0008,actor_head_delta_execution_admission_blocked_stale_fixed_surface,source M2916 status execution_admission_blocked_stale_fixed_surface is not admitted for actor-head delta materialization,repair or stop before any execution if this row is needed,False,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-rejection-0009,m2916-execution-admission-candidate-0065,m2877,runs/m2877_engineering_controller_route_a_post_package_refresh_fresh_closed_loop_evidence_preflight/candidate_execution_rows.csv,m2877-fresh-candidate-0009,actor_head_delta_execution_admission_blocked_stale_fixed_surface,source M2916 status execution_admission_blocked_stale_fixed_surface is not admitted for actor-head delta materialization,repair or stop before any execution if this row is needed,False,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
m2956-rejection-0010,m2916-execution-admission-candidate-0066,m2877,runs/m2877_engineering_controller_route_a_post_package_refresh_fresh_closed_loop_evidence_preflight/candidate_execution_rows.csv,m2877-fresh-candidate-0010,actor_head_delta_execution_admission_blocked_stale_fixed_surface,source M2916 status execution_admission_blocked_stale_fixed_surface is not admitted for actor-head delta materialization,repair or stop before any execution if this row is needed,False,"M2956 actor-head delta execution-admission materialization only; accepted M2953 actor-head delta panel rows and accepted M2916 Route A execution-admission rows may be bound into candidate, rejection, guardrail, actor-delta contract, claim-boundary, and gate rows, but no reset, step, rollout, replay, validation, training, PPO, dependency execution, adapter probe, checkpoint mutation, ranking, winner selection, promotion, success-rate verdict, implementation-readiness, repair-success, driver-performance, paper, current-sim, high-fidelity, full-driver, finite-window-vs-GRU, or self-ID claim is made"
