seed,policy,steps,terminated,truncated,collision,obstacle_completed,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,termination_reason,completion_reason,outcome_bucket,return,mean_reward,lateral_rmse,beta_abs_error_mean,high_sideslip_fraction,speed_mean,action_rate_mean,max_off_track_overshoot,time_to_first_off_track_s,off_track_severity_proxy,recoverability_window_success,recoverability_window_success_available,success,workload_id,task_source_id,profile_name,task_family,source_edge,window_tag,strata,executable_source_family,env_template_family,profile_config_path,checkpoint_path,parent_profile_config_path,parent_checkpoint_path,profile_env_history_length,eval_seed,m2960_eval_seed,resolution_id,execution_candidate_id,actor_head_delta_candidate_id,source_execution_admission_candidate_id,source_milestone,source_family,source_row_id,actor_head_delta_bounded_execution_preflight,zero_residual_identity_mode,residual_delta_abs_max,residual_trace_count,candidate_surface_count,blocked_stale_guard_execution,guardrail_rows_in_success_denominator,hidden_oracle_actor_input_required,future_target_actor_input_required,route_labels_actor_visible,source_labels_actor_visible,evaluator_labels_actor_visible,diagnostic_labels_actor_visible,success_progress_labels_actor_visible,verdict_labels_actor_visible,profile_specific_tuning,active_config_overwritten,dependency_execution_performed,checkpoint_save_scheduled,checkpoint_mutation_scheduled,ranking_run,winner_selected,checkpoint_promoted,success_rate_verdict_claim_made,driver_performance_claim_made,repair_success_claim_made,validation_readiness_claim_made,validation_result_claim_made,paper_claim_made,finite_window_vs_gru_claim_made,current_sim_verdict_claim_made,high_fidelity_validation_claim_made,full_ideal_driver_gate_passed,full_ideal_driver_completion_claim_made,level3_self_id_claim_made,diagnostic_only_no_verdict,claim_boundary
296000,checkpoint,153,True,False,False,False,17.131009733662697,1.690975301957807,15.440034431704891,off_track,off_track,off_track_noncollision_noncompletion,-159.96231654451077,-1.0455053368922274,2.115717281988661,0.7953459588712715,0.7647058823529411,6.410408385559256,0.015800660476088524,0.002180561182566265,3.06,0.002180561182566265,False,False,False,m1680-spec-0000::L3_online_gru,m1680-spec-0000,L3_online_gru,T4,actuator_delay_step|capability_step_up,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,capability_step_up,t4_capability_step_temporal,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,1,296000,296000,m2960-resolution-0001,m2960-execution-candidate-0001,m2956-actor-head-delta-candidate-0001,m2916-execution-admission-candidate-0001,m2737,source_diverse_current_sim_offtrack,m2734-candidate-m2693-0001,True,True,0.0,153,56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
296001,checkpoint,210,False,True,False,True,13.0531784999371,1.8170109362184412,11.23616756371866,,obstacle_pass,success_obstacle_pass,-172.5395107569213,-0.8216167178901014,1.4966109650918378,0.8527596472068965,0.7666666666666667,5.111464625990348,0.012942828238010406,0.0,,0.0,False,False,True,m1680-spec-0002::L3_online_gru,m1680-spec-0002,L3_online_gru,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T4,capability_step_down,t4_capability_step_temporal,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,1,296001,296001,m2960-resolution-0002,m2960-execution-candidate-0002,m2956-actor-head-delta-candidate-0002,m2916-execution-admission-candidate-0002,m2737,source_diverse_current_sim_offtrack,m2734-candidate-m2693-0002,True,True,0.0,363,56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
296002,checkpoint,176,True,False,False,False,22.038140434788783,1.8259842384823348,20.21215619630645,off_track,off_track,off_track_noncollision_noncompletion,-139.0781709424345,-0.7902168803547415,1.8046184703418091,0.7924673169607388,0.6477272727272727,4.025977485462094,0.010943419300019741,0.06767639318027463,3.52,0.06767639318027463,False,False,False,m1680-spec-0004::L3_online_gru,m1680-spec-0004,L3_online_gru,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T4,t4_actuator_delay_response,t4_actuator_delay_response,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,1,296002,296002,m2960-resolution-0003,m2960-execution-candidate-0003,m2956-actor-head-delta-candidate-0003,m2916-execution-admission-candidate-0003,m2737,source_diverse_current_sim_offtrack,m2734-candidate-m2693-0003,True,True,0.0,539,56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
296003,checkpoint,126,False,True,False,True,5.593219158966545,1.8618899350073437,3.7313292239592015,,obstacle_pass,success_obstacle_pass,-43.80200822170513,-0.3476349858865487,0.9793833151628711,0.7447827383301263,0.6904761904761905,6.595582258610028,0.019469616934657097,0.0,,0.0,False,False,True,m1680-spec-0005::L3_online_gru,m1680-spec-0005,L3_online_gru,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T4,t4_capability_step_temporal,t4_capability_step_temporal,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,1,296003,296003,m2960-resolution-0004,m2960-execution-candidate-0004,m2956-actor-head-delta-candidate-0004,m2916-execution-admission-candidate-0004,m2737,source_diverse_current_sim_offtrack,m2734-candidate-m2693-0004,True,True,0.0,665,56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
296004,checkpoint,139,True,False,False,False,4.593591037558576,1.5216104933708459,3.07198054418773,off_track,off_track,off_track_noncollision_noncompletion,-95.28106896056343,-0.6854753162630463,1.7328006601357895,0.8290937523406696,0.7266187050359713,5.453944409838697,0.015044121071696281,0.1291985926936441,2.7800000000000002,0.1291985926936441,False,False,False,m1680-spec-0006::L3_online_gru,m1680-spec-0006,L3_online_gru,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T4,t4_staged_warmup_capability,t4_staged_warmup_capability,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,1,296004,296004,m2960-resolution-0005,m2960-execution-candidate-0005,m2956-actor-head-delta-candidate-0005,m2916-execution-admission-candidate-0005,m2737,source_diverse_current_sim_offtrack,m2734-candidate-m2693-0005,True,True,0.0,804,56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
296005,checkpoint,124,True,False,False,False,15.122276501008187,2.0127836321175456,13.10949286889064,off_track,off_track,off_track_noncollision_noncompletion,-15.127300958621877,-0.12199436256953126,2.3710857219259847,0.2708849146363019,0.0,6.174716259257402,0.007805828470736742,0.03603953067253407,2.48,0.03603953067253407,False,False,False,m1680-spec-0036::L3_online_gru,m1680-spec-0036,L3_online_gru,T5,actuator_delay_step|t5_near_boundary_warmup,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T5,t5_near_boundary_warmup,t5_near_boundary_warmup,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,1,296005,296005,m2960-resolution-0006,m2960-execution-candidate-0006,m2956-actor-head-delta-candidate-0006,m2916-execution-admission-candidate-0006,m2737,source_diverse_current_sim_offtrack,m2734-candidate-m2693-0006,True,True,0.0,928,56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
296006,checkpoint,150,True,False,False,False,8.862883357799934,1.9216610267950416,6.941222331004893,off_track,off_track,off_track_noncollision_noncompletion,-105.19214399048867,-0.7012809599365911,1.9292830526470792,0.8294197898906489,0.7666666666666667,5.4169415768942875,0.015676185488700867,0.06487282874497069,3.0,0.06487282874497069,False,False,False,m1680-spec-0038::L3_online_gru,m1680-spec-0038,L3_online_gru,T5,capability_step_down|t5_near_boundary_warmup,decision_minus_24,all_72_specs;explicit_window_subset;task_family_T5,t5_near_boundary_warmup,t5_near_boundary_warmup,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,1,296006,296006,m2960-resolution-0007,m2960-execution-candidate-0007,m2956-actor-head-delta-candidate-0007,m2916-execution-admission-candidate-0007,m2737,source_diverse_current_sim_offtrack,m2734-candidate-m2693-0007,True,True,0.0,1078,56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
296007,checkpoint,170,True,False,False,False,6.006589270026337,1.5751478078251642,4.431441462201173,off_track,off_track,off_track_noncollision_noncompletion,-113.56451837046006,-0.6680265786497651,2.070167246079516,0.7676292872260608,0.7411764705882353,4.441359418326121,0.012099931947886944,0.05558974036809161,3.4,0.05558974036809161,False,False,False,m1680-spec-0040::L3_online_gru,m1680-spec-0040,L3_online_gru,T5,curved_boundary_obstacle|t5_boundary_axis_retarget,decision_minus_32,all_72_specs;explicit_window_subset;task_family_T5,t5_boundary_axis_retarget,t5_boundary_axis_retarget,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,1,296007,296007,m2960-resolution-0008,m2960-execution-candidate-0008,m2956-actor-head-delta-candidate-0008,m2916-execution-admission-candidate-0008,m2737,source_diverse_current_sim_offtrack,m2734-candidate-m2693-0008,True,True,0.0,1248,56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
296008,checkpoint,108,True,False,True,False,1.839816478935273,1.9474102734074967,-0.10759379447222384,obstacle_collision,obstacle_collision,collision_failure,-34.523779998769946,-0.3196646296182402,1.0321094795464556,0.6604547469992254,0.7129629629629629,6.042585834338778,0.020920710638165474,0.0,,0.0,False,False,False,m1680-spec-0041::L3_online_gru,m1680-spec-0041,L3_online_gru,T5,drive_loss_proxy|curved_boundary_obstacle,mapping_window_unspecified,all_72_specs;mapping_window_unspecified;task_family_T5,drive_loss_proxy,t5_near_boundary_warmup,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,1,296008,296008,m2960-resolution-0009,m2960-execution-candidate-0009,m2956-actor-head-delta-candidate-0009,m2916-execution-admission-candidate-0009,m2737,source_diverse_current_sim_offtrack,m2734-candidate-m2693-0009,True,True,0.0,1356,56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
296009,checkpoint,76,True,False,False,False,25.976925667860964,1.7095040827615753,24.267421585099388,off_track,off_track,off_track_noncollision_noncompletion,14.8692189538213,0.19564761781343815,2.4247978000832693,0.5468857488285517,0.0,10.446918077171986,0.0015576324658468366,0.006723890398905752,1.52,0.006723890398905752,False,False,False,m1680-spec-0000::L3_online_gru,m1680-spec-0000,L3_online_gru,T4,actuator_delay_step|capability_step_up,reveal_plus_4,all_72_specs;explicit_window_subset;task_family_T4,capability_step_up,t4_capability_step_temporal,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,1,296009,296009,m2960-resolution-0010,m2960-execution-candidate-0010,m2956-actor-head-delta-candidate-0010,m2916-execution-admission-candidate-0010,m2737,exact_executable_reentry_baseline,m2734-candidate-m2716-0001,True,True,0.0,76,56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
