execution_candidate_id,actor_head_delta_candidate_id,source_execution_admission_candidate_id,source_milestone,source_artifact,source_row_id,source_family,task_family,workload_id,task_source_id,profile_name,parent_checkpoint_path,parent_profile_config_path,actor_head_delta_panel_spec_ids,actor_head_delta_traceability_count,execution_admission_status,execution_scheduled_in_m2960,environment_reset_admitted,environment_rollout_scheduled,measured_validation_scheduled,training_scheduled,dependency_execution_scheduled,checkpoint_load_scheduled,checkpoint_save_scheduled,checkpoint_mutation_scheduled,profile_specific_tuning,actor_observation_dim,actor_action_dim,actor_input_contract_changed,hidden_oracle_actor_input_required,future_target_actor_input_required,route_labels_actor_visible,source_labels_actor_visible,evaluator_labels_actor_visible,diagnostic_labels_actor_visible,success_progress_labels_actor_visible,verdict_labels_actor_visible,ordinary_engineering_denominator_allowed_after_audit,validation_denominator_allowed,paper_denominator_allowed,high_fidelity_readiness_allowed,self_id_claim_allowed,diagnostic_only_no_verdict,parent_checkpoint_exists,parent_profile_config_exists,claim_boundary
m2960-execution-candidate-0001,m2956-actor-head-delta-candidate-0001,m2916-execution-admission-candidate-0001,m2737,runs/m2737_engineering_controller_route_a_post_negative_diagnostic_source_diverse_closed_loop_evidence_surface_bounded_execution_preflight/candidate_execution_rows.csv,m2734-candidate-m2693-0001,source_diverse_current_sim_offtrack,T4,m1680-spec-0000::L3_online_gru,m1680-spec-0000,L3_online_gru,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,m2953-panel-spec-0001;m2953-panel-spec-0002;m2953-panel-spec-0003;m2953-panel-spec-0004;m2953-panel-spec-0005;m2953-panel-spec-0006;m2953-panel-spec-0007;m2953-panel-spec-0008,88,actor_head_delta_execution_admission_materialized_for_separate_bounded_execution_design,True,True,True,False,False,False,True,False,False,False,72,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2960-execution-candidate-0002,m2956-actor-head-delta-candidate-0002,m2916-execution-admission-candidate-0002,m2737,runs/m2737_engineering_controller_route_a_post_negative_diagnostic_source_diverse_closed_loop_evidence_surface_bounded_execution_preflight/candidate_execution_rows.csv,m2734-candidate-m2693-0002,source_diverse_current_sim_offtrack,T4,m1680-spec-0002::L3_online_gru,m1680-spec-0002,L3_online_gru,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,m2953-panel-spec-0001;m2953-panel-spec-0002;m2953-panel-spec-0003;m2953-panel-spec-0004;m2953-panel-spec-0005;m2953-panel-spec-0006;m2953-panel-spec-0007;m2953-panel-spec-0008,88,actor_head_delta_execution_admission_materialized_for_separate_bounded_execution_design,True,True,True,False,False,False,True,False,False,False,72,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2960-execution-candidate-0003,m2956-actor-head-delta-candidate-0003,m2916-execution-admission-candidate-0003,m2737,runs/m2737_engineering_controller_route_a_post_negative_diagnostic_source_diverse_closed_loop_evidence_surface_bounded_execution_preflight/candidate_execution_rows.csv,m2734-candidate-m2693-0003,source_diverse_current_sim_offtrack,T4,m1680-spec-0004::L3_online_gru,m1680-spec-0004,L3_online_gru,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,m2953-panel-spec-0001;m2953-panel-spec-0002;m2953-panel-spec-0003;m2953-panel-spec-0004;m2953-panel-spec-0005;m2953-panel-spec-0006;m2953-panel-spec-0007;m2953-panel-spec-0008,88,actor_head_delta_execution_admission_materialized_for_separate_bounded_execution_design,True,True,True,False,False,False,True,False,False,False,72,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2960-execution-candidate-0004,m2956-actor-head-delta-candidate-0004,m2916-execution-admission-candidate-0004,m2737,runs/m2737_engineering_controller_route_a_post_negative_diagnostic_source_diverse_closed_loop_evidence_surface_bounded_execution_preflight/candidate_execution_rows.csv,m2734-candidate-m2693-0004,source_diverse_current_sim_offtrack,T4,m1680-spec-0005::L3_online_gru,m1680-spec-0005,L3_online_gru,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,m2953-panel-spec-0001;m2953-panel-spec-0002;m2953-panel-spec-0003;m2953-panel-spec-0004;m2953-panel-spec-0005;m2953-panel-spec-0006;m2953-panel-spec-0007;m2953-panel-spec-0008,88,actor_head_delta_execution_admission_materialized_for_separate_bounded_execution_design,True,True,True,False,False,False,True,False,False,False,72,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2960-execution-candidate-0005,m2956-actor-head-delta-candidate-0005,m2916-execution-admission-candidate-0005,m2737,runs/m2737_engineering_controller_route_a_post_negative_diagnostic_source_diverse_closed_loop_evidence_surface_bounded_execution_preflight/candidate_execution_rows.csv,m2734-candidate-m2693-0005,source_diverse_current_sim_offtrack,T4,m1680-spec-0006::L3_online_gru,m1680-spec-0006,L3_online_gru,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,m2953-panel-spec-0001;m2953-panel-spec-0002;m2953-panel-spec-0003;m2953-panel-spec-0004;m2953-panel-spec-0005;m2953-panel-spec-0006;m2953-panel-spec-0007;m2953-panel-spec-0008,88,actor_head_delta_execution_admission_materialized_for_separate_bounded_execution_design,True,True,True,False,False,False,True,False,False,False,72,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2960-execution-candidate-0006,m2956-actor-head-delta-candidate-0006,m2916-execution-admission-candidate-0006,m2737,runs/m2737_engineering_controller_route_a_post_negative_diagnostic_source_diverse_closed_loop_evidence_surface_bounded_execution_preflight/candidate_execution_rows.csv,m2734-candidate-m2693-0006,source_diverse_current_sim_offtrack,T5,m1680-spec-0036::L3_online_gru,m1680-spec-0036,L3_online_gru,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,m2953-panel-spec-0001;m2953-panel-spec-0002;m2953-panel-spec-0003;m2953-panel-spec-0004;m2953-panel-spec-0005;m2953-panel-spec-0006;m2953-panel-spec-0007;m2953-panel-spec-0008,88,actor_head_delta_execution_admission_materialized_for_separate_bounded_execution_design,True,True,True,False,False,False,True,False,False,False,72,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2960-execution-candidate-0007,m2956-actor-head-delta-candidate-0007,m2916-execution-admission-candidate-0007,m2737,runs/m2737_engineering_controller_route_a_post_negative_diagnostic_source_diverse_closed_loop_evidence_surface_bounded_execution_preflight/candidate_execution_rows.csv,m2734-candidate-m2693-0007,source_diverse_current_sim_offtrack,T5,m1680-spec-0038::L3_online_gru,m1680-spec-0038,L3_online_gru,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,m2953-panel-spec-0001;m2953-panel-spec-0002;m2953-panel-spec-0003;m2953-panel-spec-0004;m2953-panel-spec-0005;m2953-panel-spec-0006;m2953-panel-spec-0007;m2953-panel-spec-0008,88,actor_head_delta_execution_admission_materialized_for_separate_bounded_execution_design,True,True,True,False,False,False,True,False,False,False,72,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2960-execution-candidate-0008,m2956-actor-head-delta-candidate-0008,m2916-execution-admission-candidate-0008,m2737,runs/m2737_engineering_controller_route_a_post_negative_diagnostic_source_diverse_closed_loop_evidence_surface_bounded_execution_preflight/candidate_execution_rows.csv,m2734-candidate-m2693-0008,source_diverse_current_sim_offtrack,T5,m1680-spec-0040::L3_online_gru,m1680-spec-0040,L3_online_gru,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,m2953-panel-spec-0001;m2953-panel-spec-0002;m2953-panel-spec-0003;m2953-panel-spec-0004;m2953-panel-spec-0005;m2953-panel-spec-0006;m2953-panel-spec-0007;m2953-panel-spec-0008,88,actor_head_delta_execution_admission_materialized_for_separate_bounded_execution_design,True,True,True,False,False,False,True,False,False,False,72,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2960-execution-candidate-0009,m2956-actor-head-delta-candidate-0009,m2916-execution-admission-candidate-0009,m2737,runs/m2737_engineering_controller_route_a_post_negative_diagnostic_source_diverse_closed_loop_evidence_surface_bounded_execution_preflight/candidate_execution_rows.csv,m2734-candidate-m2693-0009,source_diverse_current_sim_offtrack,T5,m1680-spec-0041::L3_online_gru,m1680-spec-0041,L3_online_gru,runs/m2655_engineering_controller_route_a_source_only_gap_targeted_repair_mitigation_preserving_execution/checkpoints/m2655_mitigation_preserving_actor_head_repair.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,m2953-panel-spec-0001;m2953-panel-spec-0002;m2953-panel-spec-0003;m2953-panel-spec-0004;m2953-panel-spec-0005;m2953-panel-spec-0006;m2953-panel-spec-0007;m2953-panel-spec-0008,88,actor_head_delta_execution_admission_materialized_for_separate_bounded_execution_design,True,True,True,False,False,False,True,False,False,False,72,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
m2960-execution-candidate-0010,m2956-actor-head-delta-candidate-0010,m2916-execution-admission-candidate-0010,m2737,runs/m2737_engineering_controller_route_a_post_negative_diagnostic_source_diverse_closed_loop_evidence_surface_bounded_execution_preflight/candidate_execution_rows.csv,m2734-candidate-m2716-0001,exact_executable_reentry_baseline,T4,m1680-spec-0000::L3_online_gru,m1680-spec-0000,L3_online_gru,runs/m1674_controller_family_one_seed_public_pilot/profile_runs/L3_online_gru/seed_167400/checkpoint.pt,runs/m1674_controller_family_one_seed_public_pilot/configs/L3_online_gru_seed167400.json,m2953-panel-spec-0001;m2953-panel-spec-0002;m2953-panel-spec-0003;m2953-panel-spec-0004;m2953-panel-spec-0005;m2953-panel-spec-0006;m2953-panel-spec-0007;m2953-panel-spec-0008,88,actor_head_delta_execution_admission_materialized_for_separate_bounded_execution_design,True,True,True,False,False,False,True,False,False,False,72,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,"M2960 Route A actor-head delta bounded diagnostic execution preflight only; read-only parent checkpoint loading, zero-residual actor-head delta wrapper execution, reset, step, rollout, and policy action may be recorded for the 56 M2956 admitted rows, while 11 stale fixed-source rows remain guardrails. No replay, validation, training, PPO, dependency execution, checkpoint mutation, checkpoint save, ranking, winner selection, promotion, repair success, driver-performance, paper, finite-window-vs-GRU, current-sim verdict, high-fidelity validation, full ideal driver, or self-ID claim is made"
