raw_trace_index_row_id,capture_plan_row_id,source_trace_row_id,source_row_id,execution_candidate_id,row_role,objective_or_guard_family,raw_trace_path,raw_trace_persisted,trace_step_count,expected_trace_step_count,observation_shape,action_shape,next_observation_shape,reward_shape,done_shape,timeout_shape,actor_observation_dim,actor_action_dim,tensors_finite,actor_view_only,hidden_oracle_actor_input_required,future_target_actor_input_required,objective_labels_actor_visible,admission_labels_actor_visible,trace_readiness_labels_actor_visible,verdict_labels_actor_visible,checkpoint_loaded_read_only,zero_residual_identity_mode,residual_delta_abs_max,terminated,truncated,termination_reason,completion_reason,outcome_bucket,training_started,ppo_run,validation_run,ranking_run,checkpoint_mutated,claim_boundary
m2977-raw-trace-index-0001,m2977-capture-plan-0001,m2973-trace-panel-0001,m2970-training-admission-candidate-0001,m2960-execution-candidate-0001,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0001.npz,True,153,153,153x72,153x3,153x72,153,153,153,72,3,True,True,False,False,False,False,False,False,True,True,0.0,True,False,off_track,off_track,off_track_noncollision_noncompletion,False,False,False,False,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-raw-trace-index-0002,m2977-capture-plan-0002,m2973-trace-panel-0002,m2970-training-admission-candidate-0002,m2960-execution-candidate-0003,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0002.npz,True,176,176,176x72,176x3,176x72,176,176,176,72,3,True,True,False,False,False,False,False,False,True,True,0.0,True,False,off_track,off_track,off_track_noncollision_noncompletion,False,False,False,False,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-raw-trace-index-0003,m2977-capture-plan-0003,m2973-trace-panel-0003,m2970-training-admission-candidate-0003,m2960-execution-candidate-0005,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0003.npz,True,139,139,139x72,139x3,139x72,139,139,139,72,3,True,True,False,False,False,False,False,False,True,True,0.0,True,False,off_track,off_track,off_track_noncollision_noncompletion,False,False,False,False,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-raw-trace-index-0004,m2977-capture-plan-0004,m2973-trace-panel-0004,m2970-training-admission-candidate-0004,m2960-execution-candidate-0006,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0004.npz,True,124,124,124x72,124x3,124x72,124,124,124,72,3,True,True,False,False,False,False,False,False,True,True,0.0,True,False,off_track,off_track,off_track_noncollision_noncompletion,False,False,False,False,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-raw-trace-index-0005,m2977-capture-plan-0005,m2973-trace-panel-0005,m2970-training-admission-candidate-0005,m2960-execution-candidate-0007,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0005.npz,True,150,150,150x72,150x3,150x72,150,150,150,72,3,True,True,False,False,False,False,False,False,True,True,0.0,True,False,off_track,off_track,off_track_noncollision_noncompletion,False,False,False,False,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-raw-trace-index-0006,m2977-capture-plan-0006,m2973-trace-panel-0006,m2970-training-admission-candidate-0006,m2960-execution-candidate-0008,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0006.npz,True,170,170,170x72,170x3,170x72,170,170,170,72,3,True,True,False,False,False,False,False,False,True,True,0.0,True,False,off_track,off_track,off_track_noncollision_noncompletion,False,False,False,False,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-raw-trace-index-0007,m2977-capture-plan-0007,m2973-trace-panel-0007,m2970-training-admission-candidate-0007,m2960-execution-candidate-0009,future_training_candidate,collision_clearance_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0007.npz,True,108,108,108x72,108x3,108x72,108,108,108,72,3,True,True,False,False,False,False,False,False,True,True,0.0,True,False,obstacle_collision,obstacle_collision,collision_failure,False,False,False,False,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-raw-trace-index-0008,m2977-capture-plan-0008,m2973-trace-panel-0008,m2970-training-admission-candidate-0008,m2960-execution-candidate-0010,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0008.npz,True,76,76,76x72,76x3,76x72,76,76,76,72,3,True,True,False,False,False,False,False,False,True,True,0.0,True,False,off_track,off_track,off_track_noncollision_noncompletion,False,False,False,False,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-raw-trace-index-0009,m2977-capture-plan-0009,m2973-trace-panel-0009,m2970-training-admission-candidate-0009,m2960-execution-candidate-0012,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0009.npz,True,68,68,68x72,68x3,68x72,68,68,68,72,3,True,True,False,False,False,False,False,False,True,True,0.0,True,False,off_track,off_track,off_track_noncollision_noncompletion,False,False,False,False,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2977-raw-trace-index-0010,m2977-capture-plan-0010,m2973-trace-panel-0010,m2970-training-admission-candidate-0010,m2960-execution-candidate-0013,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0010.npz,True,82,82,82x72,82x3,82x72,82,82,82,72,3,True,True,False,False,False,False,False,False,True,True,0.0,True,False,off_track,off_track,off_track_noncollision_noncompletion,False,False,False,False,False,"M2977 Route A actor-head delta deployable trace-capture preflight only; accepted M2973/M2974 future training candidates and success identity guards may be rerun under the read-only zero-residual actor-head delta wrapper to persist raw actor-view observation/action traces, while stale fixed-source guardrails remain non-executed protected rows. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
