target_source_plan_row_id,source_row_id,execution_candidate_id,row_role,objective_or_guard_family,raw_trace_path,raw_trace_persisted,trace_step_count,actor_observation_dim,actor_action_dim,target_source_contract,numeric_target_tensor_materialized,target_labels_actor_visible,target_provenance_actor_visible,positive_residual_target,success_identity_zero_target_guard,stale_guardrail_excluded,local_action_search_run,residual_fitting_run,training_run,validation_run,ranking_run,checkpoint_mutated,claim_boundary
m2981-target-source-plan-0001,m2970-training-admission-candidate-0001,m2960-execution-candidate-0001,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0001.npz,True,153,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0002,m2970-training-admission-candidate-0002,m2960-execution-candidate-0003,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0002.npz,True,176,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0003,m2970-training-admission-candidate-0003,m2960-execution-candidate-0005,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0003.npz,True,139,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0004,m2970-training-admission-candidate-0004,m2960-execution-candidate-0006,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0004.npz,True,124,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0005,m2970-training-admission-candidate-0005,m2960-execution-candidate-0007,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0005.npz,True,150,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0006,m2970-training-admission-candidate-0006,m2960-execution-candidate-0008,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0006.npz,True,170,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0007,m2970-training-admission-candidate-0007,m2960-execution-candidate-0009,future_training_candidate,collision_clearance_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0007.npz,True,108,72,3,trainer_side_local_action_search_required_for_collision_clearance_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0008,m2970-training-admission-candidate-0008,m2960-execution-candidate-0010,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0008.npz,True,76,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0009,m2970-training-admission-candidate-0009,m2960-execution-candidate-0012,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0009.npz,True,68,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0010,m2970-training-admission-candidate-0010,m2960-execution-candidate-0013,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0010.npz,True,82,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0011,m2970-training-admission-candidate-0011,m2960-execution-candidate-0014,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0011.npz,True,80,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0012,m2970-training-admission-candidate-0012,m2960-execution-candidate-0015,future_training_candidate,collision_clearance_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0012.npz,True,67,72,3,trainer_side_local_action_search_required_for_collision_clearance_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0013,m2970-training-admission-candidate-0013,m2960-execution-candidate-0016,future_training_candidate,collision_clearance_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0013.npz,True,69,72,3,trainer_side_local_action_search_required_for_collision_clearance_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0014,m2970-training-admission-candidate-0014,m2960-execution-candidate-0017,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0014.npz,True,91,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0015,m2970-training-admission-candidate-0015,m2960-execution-candidate-0018,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0015.npz,True,78,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0016,m2970-training-admission-candidate-0016,m2960-execution-candidate-0019,future_training_candidate,speed_floor_context_guard_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0016.npz,True,102,72,3,trainer_side_local_action_search_required_for_speed_floor_context_guard_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0017,m2970-training-admission-candidate-0017,m2960-execution-candidate-0020,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0017.npz,True,132,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0018,m2970-training-admission-candidate-0018,m2960-execution-candidate-0021,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0018.npz,True,154,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0019,m2970-training-admission-candidate-0019,m2960-execution-candidate-0022,future_training_candidate,collision_clearance_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0019.npz,True,129,72,3,trainer_side_local_action_search_required_for_collision_clearance_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2981-target-source-plan-0020,m2970-training-admission-candidate-0020,m2960-execution-candidate-0023,future_training_candidate,offtrack_recovery_residual_objective,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0020.npz,True,113,72,3,trainer_side_local_action_search_required_for_offtrack_recovery_residual_objective,False,False,False,True,False,False,False,False,False,False,False,False,"M2981 Route A actor-head delta nonzero residual target-source feasibility preflight only; accepted M2977 raw actor-view traces and M2970 objective-admission rows may be joined to materialize target-source feasibility candidate guard exclusion actor claim and gate artifacts. No local-action search, numeric target tensor materialization, residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
