success_identity_zero_target_guard_row_id,source_guard_row_id,source_row_id,source_raw_trace_index_row_id,execution_candidate_id,raw_trace_path,target_tensor_path,trace_step_count,zero_target_guard,positive_residual_target,target_action_delta_abs_max,target_valid_mask_true_count,target_loss_weight_sum,target_labels_actor_visible,target_provenance_actor_visible,claim_boundary
m2983-success-zero-guard-0001,m2981-success-zero-guard-0001,m2970-success-identity-guard-0001,m2977-raw-trace-index-0044,m2960-execution-candidate-0002,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0044.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-success-zero-guard-0001.npz,210,True,False,0.0,0,0.0,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-success-zero-guard-0002,m2981-success-zero-guard-0002,m2970-success-identity-guard-0002,m2977-raw-trace-index-0045,m2960-execution-candidate-0004,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0045.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-success-zero-guard-0002.npz,126,True,False,0.0,0,0.0,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-success-zero-guard-0003,m2981-success-zero-guard-0003,m2970-success-identity-guard-0003,m2977-raw-trace-index-0046,m2960-execution-candidate-0011,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0046.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-success-zero-guard-0003.npz,102,True,False,0.0,0,0.0,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-success-zero-guard-0004,m2981-success-zero-guard-0004,m2970-success-identity-guard-0004,m2977-raw-trace-index-0047,m2960-execution-candidate-0025,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0047.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-success-zero-guard-0004.npz,136,True,False,0.0,0,0.0,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-success-zero-guard-0005,m2981-success-zero-guard-0005,m2970-success-identity-guard-0005,m2977-raw-trace-index-0048,m2960-execution-candidate-0027,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0048.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-success-zero-guard-0005.npz,90,True,False,0.0,0,0.0,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-success-zero-guard-0006,m2981-success-zero-guard-0006,m2970-success-identity-guard-0006,m2977-raw-trace-index-0049,m2960-execution-candidate-0029,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0049.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-success-zero-guard-0006.npz,101,True,False,0.0,0,0.0,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-success-zero-guard-0007,m2981-success-zero-guard-0007,m2970-success-identity-guard-0007,m2977-raw-trace-index-0050,m2960-execution-candidate-0035,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0050.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-success-zero-guard-0007.npz,90,True,False,0.0,0,0.0,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-success-zero-guard-0008,m2981-success-zero-guard-0008,m2970-success-identity-guard-0008,m2977-raw-trace-index-0051,m2960-execution-candidate-0036,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0051.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-success-zero-guard-0008.npz,94,True,False,0.0,0,0.0,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-success-zero-guard-0009,m2981-success-zero-guard-0009,m2970-success-identity-guard-0009,m2977-raw-trace-index-0052,m2960-execution-candidate-0041,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0052.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-success-zero-guard-0009.npz,81,True,False,0.0,0,0.0,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-success-zero-guard-0010,m2981-success-zero-guard-0010,m2970-success-identity-guard-0010,m2977-raw-trace-index-0053,m2960-execution-candidate-0049,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0053.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-success-zero-guard-0010.npz,87,True,False,0.0,0,0.0,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
