target_tensor_row_id,source_target_candidate_row_id,training_admission_candidate_id,source_raw_trace_index_row_id,execution_candidate_id,objective_family,outcome_bucket,raw_trace_path,target_tensor_path,trace_step_count,target_action_delta_shape,target_valid_mask_shape,target_loss_weight_shape,target_action_delta_abs_max,target_valid_mask_true_count,target_loss_weight_sum,target_source_provenance,target_quality_validated,target_labels_actor_visible,target_provenance_actor_visible,positive_residual_target,local_action_search_run,environment_step_run,residual_fitting_run,training_run,validation_run,ranking_run,checkpoint_mutated,claim_boundary
m2983-target-tensor-0001,m2981-target-candidate-0001,m2970-training-admission-candidate-0001,m2977-raw-trace-index-0001,m2960-execution-candidate-0001,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0001.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0001.npz,153,153x3,153,153,0.050000011920928955,152,152.0,bounded_objective_delta_projection_for_offtrack_recovery_residual_objective,False,False,False,True,True,False,False,False,False,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-target-tensor-0002,m2981-target-candidate-0002,m2970-training-admission-candidate-0002,m2977-raw-trace-index-0002,m2960-execution-candidate-0003,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0002.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0002.npz,176,176x3,176,176,0.050000011920928955,175,175.0,bounded_objective_delta_projection_for_offtrack_recovery_residual_objective,False,False,False,True,True,False,False,False,False,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-target-tensor-0003,m2981-target-candidate-0003,m2970-training-admission-candidate-0003,m2977-raw-trace-index-0003,m2960-execution-candidate-0005,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0003.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0003.npz,139,139x3,139,139,0.050000011920928955,138,138.0,bounded_objective_delta_projection_for_offtrack_recovery_residual_objective,False,False,False,True,True,False,False,False,False,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-target-tensor-0004,m2981-target-candidate-0004,m2970-training-admission-candidate-0004,m2977-raw-trace-index-0004,m2960-execution-candidate-0006,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0004.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0004.npz,124,124x3,124,124,0.050000011920928955,123,123.0,bounded_objective_delta_projection_for_offtrack_recovery_residual_objective,False,False,False,True,True,False,False,False,False,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-target-tensor-0005,m2981-target-candidate-0005,m2970-training-admission-candidate-0005,m2977-raw-trace-index-0005,m2960-execution-candidate-0007,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0005.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0005.npz,150,150x3,150,150,0.050000011920928955,149,149.0,bounded_objective_delta_projection_for_offtrack_recovery_residual_objective,False,False,False,True,True,False,False,False,False,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-target-tensor-0006,m2981-target-candidate-0006,m2970-training-admission-candidate-0006,m2977-raw-trace-index-0006,m2960-execution-candidate-0008,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0006.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0006.npz,170,170x3,170,170,0.050000011920928955,169,169.0,bounded_objective_delta_projection_for_offtrack_recovery_residual_objective,False,False,False,True,True,False,False,False,False,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-target-tensor-0007,m2981-target-candidate-0007,m2970-training-admission-candidate-0007,m2977-raw-trace-index-0007,m2960-execution-candidate-0009,collision_clearance_residual_objective,collision_failure,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0007.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0007.npz,108,108x3,108,108,0.04000002145767212,107,107.0,bounded_objective_delta_projection_for_collision_clearance_residual_objective,False,False,False,True,True,False,False,False,False,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-target-tensor-0008,m2981-target-candidate-0008,m2970-training-admission-candidate-0008,m2977-raw-trace-index-0008,m2960-execution-candidate-0010,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0008.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0008.npz,76,76x3,76,76,0.05000000074505806,75,75.0,bounded_objective_delta_projection_for_offtrack_recovery_residual_objective,False,False,False,True,True,False,False,False,False,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-target-tensor-0009,m2981-target-candidate-0009,m2970-training-admission-candidate-0009,m2977-raw-trace-index-0009,m2960-execution-candidate-0012,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0009.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0009.npz,68,68x3,68,68,0.05000000074505806,67,67.0,bounded_objective_delta_projection_for_offtrack_recovery_residual_objective,False,False,False,True,True,False,False,False,False,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2983-target-tensor-0010,m2981-target-candidate-0010,m2970-training-admission-candidate-0010,m2977-raw-trace-index-0010,m2960-execution-candidate-0013,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2977_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_deployable_trace_capture_preflight/raw_traces/m2977-capture-plan-0010.npz,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0010.npz,82,82x3,82,82,0.05000000447034836,81,81.0,bounded_objective_delta_projection_for_offtrack_recovery_residual_objective,False,False,False,True,True,False,False,False,False,False,False,"M2983 Route A actor-head delta nonzero residual target tensor materialization preflight only; accepted M2981 target-source feasibility rows and M2977 raw actor-view traces may be converted into trainer-side target_action_delta, target_valid_mask, target_loss_weight, and provenance artifacts. Target labels and provenance remain actor-invisible. No residual fitting, training, PPO, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
