mask_weight_binding_id,target_tensor_row_id,training_admission_candidate_id,objective_family,outcome_bucket,target_tensor_path,target_action_delta_shape,target_valid_mask_shape,target_loss_weight_shape,target_valid_mask_true_count,target_loss_weight_sum,target_action_delta_abs_max,target_quality_validated,target_labels_actor_visible,target_provenance_actor_visible,fit_candidate_after_audit,tensor_contract_pass,status_pass,claim_boundary
m2987-mask-weight-binding-0001,m2983-target-tensor-0001,m2970-training-admission-candidate-0001,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0001.npz,153x3,153,153,152,152.0,0.050000011920928955,False,False,False,True,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-mask-weight-binding-0002,m2983-target-tensor-0002,m2970-training-admission-candidate-0002,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0002.npz,176x3,176,176,175,175.0,0.050000011920928955,False,False,False,True,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-mask-weight-binding-0003,m2983-target-tensor-0003,m2970-training-admission-candidate-0003,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0003.npz,139x3,139,139,138,138.0,0.050000011920928955,False,False,False,True,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-mask-weight-binding-0004,m2983-target-tensor-0004,m2970-training-admission-candidate-0004,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0004.npz,124x3,124,124,123,123.0,0.050000011920928955,False,False,False,True,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-mask-weight-binding-0005,m2983-target-tensor-0005,m2970-training-admission-candidate-0005,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0005.npz,150x3,150,150,149,149.0,0.050000011920928955,False,False,False,True,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-mask-weight-binding-0006,m2983-target-tensor-0006,m2970-training-admission-candidate-0006,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0006.npz,170x3,170,170,169,169.0,0.050000011920928955,False,False,False,True,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-mask-weight-binding-0007,m2983-target-tensor-0007,m2970-training-admission-candidate-0007,collision_clearance_residual_objective,collision_failure,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0007.npz,108x3,108,108,107,107.0,0.04000002145767212,False,False,False,True,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-mask-weight-binding-0008,m2983-target-tensor-0008,m2970-training-admission-candidate-0008,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0008.npz,76x3,76,76,75,75.0,0.05000000074505806,False,False,False,True,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-mask-weight-binding-0009,m2983-target-tensor-0009,m2970-training-admission-candidate-0009,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0009.npz,68x3,68,68,67,67.0,0.05000000074505806,False,False,False,True,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-mask-weight-binding-0010,m2983-target-tensor-0010,m2970-training-admission-candidate-0010,offtrack_recovery_residual_objective,off_track_noncollision_noncompletion,runs/m2983_engineering_controller_route_a_offtrack_dominant_constraint_balanced_actor_head_delta_nonzero_residual_target_tensor_materialization_preflight/target_tensors/m2983-target-tensor-0010.npz,82x3,82,82,81,81.0,0.05000000447034836,False,False,False,True,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
