stale_guardrail_exclusion_binding_id,stale_guardrail_exclusion_row_id,source_row_id,guard_family,target_materialized,positive_residual_target,future_fitting_denominator_allowed_after_audit,validation_denominator_allowed,paper_denominator_allowed,stale_guardrail_excluded,status_pass,claim_boundary
m2987-stale-exclusion-binding-0001,m2983-stale-exclusion-0001,m2970-stale-guardrail-0001,actor_head_delta_execution_admission_blocked_stale_fixed_surface,False,False,False,False,False,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-stale-exclusion-binding-0002,m2983-stale-exclusion-0002,m2970-stale-guardrail-0002,actor_head_delta_execution_admission_blocked_stale_fixed_surface,False,False,False,False,False,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-stale-exclusion-binding-0003,m2983-stale-exclusion-0003,m2970-stale-guardrail-0003,actor_head_delta_execution_admission_blocked_stale_fixed_surface,False,False,False,False,False,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-stale-exclusion-binding-0004,m2983-stale-exclusion-0004,m2970-stale-guardrail-0004,actor_head_delta_execution_admission_blocked_stale_fixed_surface,False,False,False,False,False,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-stale-exclusion-binding-0005,m2983-stale-exclusion-0005,m2970-stale-guardrail-0005,actor_head_delta_execution_admission_blocked_stale_fixed_surface,False,False,False,False,False,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-stale-exclusion-binding-0006,m2983-stale-exclusion-0006,m2970-stale-guardrail-0006,actor_head_delta_execution_admission_blocked_stale_fixed_surface,False,False,False,False,False,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-stale-exclusion-binding-0007,m2983-stale-exclusion-0007,m2970-stale-guardrail-0007,actor_head_delta_execution_admission_blocked_stale_fixed_surface,False,False,False,False,False,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-stale-exclusion-binding-0008,m2983-stale-exclusion-0008,m2970-stale-guardrail-0008,actor_head_delta_execution_admission_blocked_stale_fixed_surface,False,False,False,False,False,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-stale-exclusion-binding-0009,m2983-stale-exclusion-0009,m2970-stale-guardrail-0009,actor_head_delta_execution_admission_blocked_stale_fixed_surface,False,False,False,False,False,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-stale-exclusion-binding-0010,m2983-stale-exclusion-0010,m2970-stale-guardrail-0010,actor_head_delta_execution_admission_blocked_stale_fixed_surface,False,False,False,False,False,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
m2987-stale-exclusion-binding-0011,m2983-stale-exclusion-0011,m2970-stale-guardrail-0011,actor_head_delta_execution_admission_blocked_stale_fixed_surface,False,False,False,False,False,True,True,"M2987 Route A actor-head delta nonzero residual fitting-contract materialization preflight only; accepted M2983 target tensors may be bound to dataset, split, mask, weight, success-guard, stale-exclusion, actor-input, side-effect, claim, and gate contracts for a later audited fitting preflight. No residual fitting, training, validation, ranking, winner selection, checkpoint mutation, checkpoint promotion, repair success, driver-performance, paper, current-sim verdict, high-fidelity validation, full ideal driver, finite-window-vs-GRU, or self-ID claim is made"
