seed,policy,steps,terminated,truncated,mu,initial_mu,mass,mass_scale,inertia_scale,cg_shift,tire_stiffness_scale,brake_scale,drive_scale,steer_tau_scale,drive_tau_scale,friction_step_at,friction_step_applied,obstacle_enabled,obstacle_label,collision,obstacle_completed,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,return,mean_reward,lateral_rmse,lateral_peak,beta_abs_error_mean,beta_abs_peak,high_sideslip_fraction,speed_mean,action_rate_mean,plan_horizon,plan_action_rate_mean,plan_first_action_error_mean,left_curve_steps,left_curve_lateral_rmse,left_curve_beta_abs_error_mean,left_curve_speed_mean,left_curve_reward_mean,right_curve_steps,right_curve_lateral_rmse,right_curve_beta_abs_error_mean,right_curve_speed_mean,right_curve_reward_mean,near_zero_steps,near_zero_lateral_rmse,near_zero_beta_abs_error_mean,near_zero_speed_mean,near_zero_reward_mean,checkpoint_ablation,mu_bucket,initial_mu_bucket,mass_bucket,cg_bucket,brake_bucket,tire_bucket,steering_tau_bucket,success
9505,heuristic,46,True,False,0.8809955370812874,0.4617418275604807,1218.1713359343846,0.8401181627133687,1.0899954850787184,0.07329524692962441,0.7908373114980993,1.0240869293425885,0.6866916616812467,1.6080638932811224,1.6080638932811224,25,True,True,drift_required,True,False,1.4859676235849304,1.6882458333566848,-0.20227820977175437,17.873104517355866,0.38854575037730144,0.45381362456018065,0.8476635197085471,0.2043199923900689,0.020410237356353122,0.0,14.077503161782802,0.008647581562399864,1,,,46,0.45381362456018065,0.2043199923900689,14.077503161782802,0.38854575037730144,0,,,,,0,,,,,,high,medium,light,front,nominal,weak,slow,False
9506,heuristic,35,True,False,1.0775579417222267,0.6096816231341294,1550.3831700176897,1.069229772425993,0.8616448539009203,0.0029164589909533856,0.5947584128590944,0.6587083085640355,1.1638910201708064,1.3383020801063736,1.3383020801063736,32,True,True,unavoidable,True,False,1.5500971968092436,1.7352893172111956,-0.185192120401952,4.98332180307257,0.1423806229449306,0.7788215409661294,0.8158659742606602,0.26895184890468166,0.03607724819734657,0.0,11.884739388517627,0.020401103422045708,1,,,35,0.7788215409661294,0.26895184890468166,11.884739388517627,0.1423806229449306,0,,,,,0,,,,,,high,medium,heavy,nominal,weak,weak,slow,False
9507,heuristic,48,True,False,0.693508278743453,0.5097618152451868,1749.524257532681,1.2065684534708145,1.0253184413976952,0.1132952721044318,0.6486374104571262,1.2030394212762565,0.9844921208057833,2.1352349184770882,2.1352349184770882,21,True,True,drift_required,True,False,1.7016837920677552,1.8541651058258188,-0.15248131375806362,19.944971566348983,0.4155202409656038,0.8432707875281287,1.5276853523997787,0.15046723011164997,0.013010569292993898,0.0,14.512465451136029,0.0029464405961334705,1,,,48,0.8432707875281287,0.15046723011164997,14.512465451136029,0.4155202409656038,0,,,,,0,,,,,,medium,medium,heavy,front,strong,weak,slow,False
9508,heuristic,75,True,False,0.8393096226003882,0.2934427652449284,1612.7406057587925,1.1122349005233052,0.9225438847295442,0.0058368393632382,1.025977618816389,0.7891379657300783,0.7025726997175076,2.583468934906521,2.583468934906521,8,True,True,drift_required,True,False,1.673013387495082,1.8634337101007739,-0.19042032260569175,46.762388802979075,0.6234985173730543,1.1785186853744716,2.4443973864656456,0.16255142945981088,0.014869939550776893,0.0,12.094854917935198,0.0030011432245373726,1,,,75,1.1785186853744716,0.16255142945981088,12.094854917935198,0.6234985173730543,0,,,,,0,,,,,,high,low,heavy,nominal,weak,nominal,slow,False
9509,heuristic,38,True,False,0.5784093202617614,0.5784093202617614,1645.527571887934,1.1348466013020235,1.1100172308641296,-0.06790377179506812,0.884004165764513,1.1758113291598256,0.6119007664572674,0.8337989229243452,0.8337989229243453,39,False,True,unavoidable,True,False,1.729800284126542,1.9525806823369538,-0.22278039821041173,9.05719269458502,0.23834717617329,0.5938178348041672,0.9407032057742484,0.14896660009769816,0.04202259582424643,0.0,12.545990999815638,0.002218732377514243,1,,,38,0.5938178348041672,0.14896660009769816,12.545990999815638,0.23834717617329,0,,,,,0,,,,,,medium,medium,heavy,rear,strong,nominal,fast,False
9510,heuristic,63,True,False,1.0088775535776806,0.3024818244124617,1447.495851324434,0.9982730009134028,1.1738923380718556,-0.013933059152890559,0.8541302440658534,0.8534606783226136,1.1068578494979044,2.7385897640319063,2.7385897640319063,37,True,True,drift_required,True,False,1.7469877668015668,1.930732521404365,-0.18374475460279815,31.918971747984898,0.5066503452061095,1.579639652206167,3.1286324912633887,0.2565225801315915,0.06335007481953686,0.0,15.317285630045149,0.009826934896409512,1,,,63,1.579639652206167,0.2565225801315915,15.317285630045149,0.5066503452061095,0,,,,,0,,,,,,high,low,nominal,nominal,weak,nominal,slow,False
9511,heuristic,50,True,False,0.5123731835585299,0.45332457807680626,1310.488193809164,0.9037849612476992,0.8121892048034784,-0.05167008199857004,0.7917697943740777,0.7567061654764359,0.7887007999731666,2.710013352560785,2.710013352560785,28,True,True,drift_required,True,False,1.3604922249973246,1.5775396412832223,-0.21704741628589774,23.988753993355655,0.4797750798671131,0.552037126343714,1.1626405494299945,0.09311129990808352,0.024243964280594024,0.0,15.614964617094518,0.0026509093586355448,1,,,50,0.552037126343714,0.09311129990808352,15.614964617094518,0.4797750798671131,0,,,,,0,,,,,,medium,medium,light,rear,weak,weak,slow,False
9512,heuristic,70,False,True,0.7370294740550716,0.5199413517314335,1473.7520178681773,1.0163807019780533,0.8434114684523211,-0.04805924226335789,1.3376096669356863,0.6079179671777779,0.9012376294044615,1.6215893301287176,1.6215893301287176,34,True,True,drift_required,False,True,1.940214155568363,1.9275293698951947,0.01268478567316822,91.61194088959913,1.308742012708559,0.12172029999017345,0.18379445041822606,0.21564337422328056,0.04165929348883717,0.0,12.30492019296091,0.020918214693665504,1,,,70,0.12172029999017345,0.21564337422328056,12.30492019296091,1.308742012708559,0,,,,,0,,,,,,medium,medium,nominal,rear,weak,strong,slow,True
9513,heuristic,62,False,True,0.6320421410615533,0.5749379643539799,1635.1668404241418,1.1277012692580288,0.8216417216815078,-0.014181227330614776,0.7022999453694379,1.250621144594008,0.6837419550984813,1.0852599807222763,1.0852599807222763,39,True,True,drift_required,False,True,2.1397364454685066,1.6920016269478655,0.4477348185206411,82.58694534959537,1.332047505638635,0.19997380921916127,0.34011931288119257,0.12826796027874338,0.038267839161351215,0.0,15.719790317485723,0.009871836751699448,1,,,62,0.19997380921916127,0.12826796027874338,15.719790317485723,1.332047505638635,0,,,,,0,,,,,,medium,medium,heavy,nominal,strong,weak,nominal,True
9514,heuristic,86,False,True,0.3080938175562572,0.30083544290614134,1801.8936944235431,1.2426853064989953,0.8927003727498908,0.12686886209848947,0.7396330375833287,0.5648783842918935,0.8893020193862738,2.397240728464063,2.397240728464063,22,True,True,drift_required,False,True,1.9089395858969163,1.412623782948934,0.49631580294798217,107.89741601602199,1.254621116465372,0.7267647981227041,1.6190436503047252,0.2570038796885893,0.10472534927811464,0.0,13.438356562613366,0.012044379487633705,1,,,86,0.7267647981227041,0.2570038796885893,13.438356562613366,1.254621116465372,0,,,,,0,,,,,,low,low,heavy,front,weak,weak,slow,True
