policy,mu_bucket,segment,episodes,steps_total,success_rate,termination_rate,lateral_rmse_mean,beta_abs_error_mean,speed_mean,reward_mean,mu_min,mu_max
heuristic,high,left_curve,36,2048,0.3055555555555556,0.6944444444444444,0.536845172620589,0.16950244956959248,13.503175281784683,0.6771798426018001,0.8000107606493485,1.1395938985083103
heuristic,low,left_curve,12,670,0.25,0.75,0.5433949935110787,0.21576328363041217,13.629815904466525,0.5535991935056054,0.3080938175562572,0.4485116947744147
heuristic,medium,left_curve,32,1663,0.21875,0.78125,0.5360692659076771,0.14823593441581792,13.831694073505934,0.5743793020191363,0.47640473981011805,0.7920644401668309
m290x64_a500,high,left_curve,37,2792,0.918918918918919,0.08108108108108109,1.6258529030371045,0.1551717676769763,11.933465563000233,0.8793539684083014,0.8000107606493485,1.1395938985083103
m290x64_a500,low,left_curve,12,830,0.6666666666666666,0.3333333333333333,0.5164227464804264,0.24844827760487775,12.30087317648899,0.7705834759084841,0.3080938175562572,0.4485116947744147
m290x64_a500,medium,left_curve,31,2063,0.8709677419354839,0.12903225806451613,0.6502633780875541,0.13177011032236888,12.554619889371919,1.0160631357125027,0.47640473981011805,0.7920644401668309
m298pref_a020,high,left_curve,37,2792,0.918918918918919,0.08108108108108109,1.6261786161282634,0.15517494911224924,11.93555379327185,0.879475130313409,0.8000107606493485,1.1395938985083103
m298pref_a020,low,left_curve,12,830,0.6666666666666666,0.3333333333333333,0.5164182475838731,0.24842362115462915,12.302014367598254,0.7707173449292712,0.3080938175562572,0.4485116947744147
m298pref_a020,medium,left_curve,31,2062,0.8709677419354839,0.12903225806451613,0.6496391788465528,0.13175324004710648,12.556514442692876,1.0163350162398488,0.47640473981011805,0.7920644401668309
m298pref_a020_reset,high,left_curve,37,2938,0.8648648648648649,0.13513513513513514,1.7480660896492417,0.15169991813979838,11.473849984512952,0.788981266350814,0.8000107606493485,1.1395938985083103
m298pref_a020_reset,low,left_curve,12,824,0.75,0.25,0.5334801856992195,0.2123885214871922,12.319768847257095,0.8698232867796469,0.3080938175562572,0.4485116947744147
m298pref_a020_reset,medium,left_curve,31,2100,0.8709677419354839,0.12903225806451613,0.6373450743234094,0.13694042483606725,12.329956312923208,0.9810911107058367,0.47640473981011805,0.7920644401668309
m298pref_a020_zero_all,high,left_curve,37,3039,0.7567567567567568,0.24324324324324326,1.8563005110187858,0.1473183855006439,11.135792272314422,0.7163163111125213,0.8000107606493485,1.1395938985083103
m298pref_a020_zero_all,low,left_curve,12,847,0.75,0.25,0.5142171456669039,0.2527151325646946,12.062727071323181,0.8247223580453062,0.3080938175562572,0.4485116947744147
m298pref_a020_zero_all,medium,left_curve,31,2168,0.8709677419354839,0.12903225806451613,0.6810752571258957,0.13461659672076812,12.009334495637455,0.9602633658727439,0.47640473981011805,0.7920644401668309
random,high,left_curve,37,2106,0.21621621621621623,0.7837837837837838,0.909344596725277,0.1628375145943534,13.27958809280247,0.5056320692414334,0.8000107606493485,1.1395938985083103
random,low,left_curve,12,697,0.16666666666666666,0.8333333333333334,0.9142487017375114,0.21634945461015065,13.356514008753145,0.4092599692087271,0.3080938175562572,0.4485116947744147
random,medium,left_curve,31,1676,0.16129032258064516,0.8387096774193549,1.0755725899956665,0.1454587791669184,13.611613795118458,0.40814300309368534,0.47640473981011805,0.7920644401668309
