policy,obstacle_label,mu_bucket,mass_bucket,brake_bucket,steering_tau_bucket,episodes,return_mean,success_rate,termination_rate,lateral_rmse_mean,lateral_peak_mean,beta_abs_error_mean,beta_abs_peak_mean,high_sideslip_fraction_mean,speed_mean,action_rate_mean,collision_rate,obstacle_completion_rate,min_obstacle_clearance_mean,plan_horizon_mean,plan_action_rate_mean,mu_min,mu_max,obstacle_collision_radius_mean,min_clearance_margin_mean,min_clearance_margin_min
heuristic,aes_feasible,low,heavy,nominal,slow,1,118.67705270433683,1.0,0.0,0.18962663103245672,0.34089600308077195,0.30506174697510813,0.03530553798714934,0.0,12.337964104512132,0.015991967171430588,0.0,1.0,3.701605333900802,1.0,,0.3478806717182057,0.3478806717182057,1.447043562337953,2.254561771562849,2.254561771562849
heuristic,aes_feasible,medium,light,weak,slow,1,37.61412805106221,0.0,1.0,1.1827027756810198,2.436420743462918,0.11774904827277202,0.02636060663480505,0.0,12.34484238940691,0.005969104822725058,1.0,0.0,1.447476054926474,1.0,,0.6198971505698847,0.6198971505698847,1.4657179967808327,-0.01824194185435868,-0.01824194185435868
heuristic,aes_feasible,medium,light,strong,fast,1,86.6101116554352,1.0,0.0,0.26500300805290816,0.37253083301916234,0.11424496667492132,0.02946137378982908,0.0,15.79195059616383,0.008470803499221802,0.0,1.0,2.6331170955534655,1.0,,0.5199566484910332,0.5199566484910332,1.410649783395996,1.2224673121574696,1.2224673121574696
heuristic,aes_feasible,medium,nominal,nominal,slow,1,100.25852600487647,1.0,0.0,0.5487800272472908,1.101332569967525,0.27876838378910834,0.03635098900465874,0.0,13.230283822383571,0.01048615574836731,0.0,1.0,2.418184239577059,1.0,,0.7806370971264489,0.7806370971264489,1.7185908481200007,0.6995933914570585,0.6995933914570585
heuristic,aes_feasible,medium,heavy,weak,slow,1,48.04144008395174,0.0,1.0,1.5399402761611212,3.478354542191042,0.16946521621946017,0.062250456254356865,0.0,14.343591823775451,0.007209032773971558,1.0,0.0,1.738881160391151,1.0,,0.7374008000351153,0.7374008000351153,1.9902178648499609,-0.25133670445880996,-0.25133670445880996
heuristic,aes_feasible,medium,heavy,strong,slow,1,24.319329438601045,0.0,1.0,0.9662145414064699,2.06036560623847,0.040726747829672075,0.0494555218844824,0.0,14.649943041175264,0.004701537545770407,1.0,0.0,1.210929682634973,1.0,,0.6228393946127635,0.6228393946127635,1.443823486574028,-0.23289380393905512,-0.23289380393905512
heuristic,aes_feasible,high,light,weak,slow,1,85.39095236083757,1.0,0.0,0.1978429066103334,0.3013661594081398,0.29984358648962633,0.02968891300252946,0.0,16.304098476778595,0.02280062437057495,0.0,1.0,3.2663478897663083,1.0,,1.1379160532600887,1.1379160532600887,1.8007872463729475,1.4655606433933608,1.4655606433933608
heuristic,aes_feasible,high,nominal,strong,nominal,1,95.4067250862919,1.0,0.0,0.5082515679526907,0.9224973376435983,0.30920289352948316,0.04292367576702334,0.0,15.778241627696747,0.0077819619327783585,0.0,1.0,3.129659982808108,1.0,,1.037633890098579,1.037633890098579,1.3651667985169964,1.7644931842911116,1.7644931842911116
heuristic,aes_feasible,high,heavy,strong,fast,1,100.41845435739036,1.0,0.0,0.17892902472860017,0.48615116596092633,0.09038141580217902,0.012257872139149919,0.0,14.857373531020144,0.0012819011462852359,0.0,1.0,3.4042346823016634,1.0,,0.853428613107043,0.853428613107043,1.412233548630767,1.9920011336708963,1.9920011336708963
heuristic,drift_required,low,light,weak,slow,1,8.687422698371694,0.0,1.0,1.1292786422258427,1.7368845072152013,0.2416253848007125,0.04534515806805027,0.0,12.986059330998096,0.010694477707147598,1.0,0.0,1.7707756687671905,1.0,,0.30950102375816546,0.30950102375816546,1.8912898127198137,-0.12051414395262317,-0.12051414395262317
heuristic,drift_required,low,light,nominal,slow,1,39.13381235270528,0.0,1.0,1.418146246384645,3.023597521154997,0.20508420305340846,0.058028501724232136,0.0,15.184493517343332,0.00919052679091692,1.0,0.0,1.3195488357419565,1.0,,0.36973108813488675,0.36973108813488675,1.4855585589278602,-0.16600972318590368,-0.16600972318590368
heuristic,drift_required,low,light,strong,fast,1,112.71150342852036,1.0,0.0,0.20327899104596758,0.5040275927974562,0.0634331527514942,0.014360220219875038,0.0,12.806725905618976,0.0029843421652913094,0.0,1.0,2.6852369389870914,1.0,,0.3687295625428752,0.3687295625428752,1.797556909592076,0.8876800293950153,0.8876800293950153
heuristic,drift_required,low,nominal,weak,slow,1,12.284874242788547,0.0,1.0,0.12087057827977865,0.19226732227613041,0.25865991100541713,0.05224495490135743,0.0,14.218043671273383,0.018085051327943802,1.0,0.0,1.8706041448090653,1.0,,0.31051495306732924,0.31051495306732924,2.0292038627719555,-0.15859971796289019,-0.15859971796289019
heuristic,drift_required,low,nominal,strong,slow,1,34.26630024123428,0.0,1.0,1.4796084977824562,2.950435041902743,0.24126986032498438,0.03293040634336052,0.0,14.84878094406387,0.008518761955201626,1.0,0.0,1.4998188588658359,1.0,,0.3695574996613576,0.3695574996613576,1.771900495217066,-0.27208163635123017,-0.27208163635123017
heuristic,drift_required,low,heavy,weak,slow,2,62.066046666816696,0.5,0.5,0.465155732149533,1.0385760256208343,0.20286724957899205,0.09809948611636328,0.0,14.630512300564519,0.009457989362999797,0.5,0.5,1.669001741276142,1.0,,0.3080938175562572,0.3505865317559843,1.4713344349008528,0.19766730637528895,-0.10098119019740426
heuristic,drift_required,medium,light,weak,slow,4,38.713636287074905,0.25,0.75,0.5043784854260664,0.9687972301692263,0.1848511745068312,0.03337441631981196,0.0,15.079719552330449,0.00787741580279544,0.75,0.25,1.6860613737346084,1.0,,0.49530859641710645,0.6241080415627123,1.5794728960636124,0.106588477670996,-0.21704741628589774
heuristic,drift_required,medium,light,nominal,slow,1,16.831234668951808,0.0,1.0,1.2373429462795134,2.2006680583267126,0.06300485461071757,0.015694327611948174,0.0,12.207209615765032,0.0036581142339855433,1.0,0.0,1.1953791262277311,1.0,,0.6743618090100392,0.6743618090100392,1.3645207269542936,-0.16914160072656248,-0.16914160072656248
heuristic,drift_required,medium,light,strong,nominal,1,80.96132211457402,1.0,0.0,0.21276471765864674,0.37908617440052694,0.18968501249926223,0.03517642279818015,0.0,14.869450739926805,0.013766007497906685,0.0,1.0,1.7795000536859933,1.0,,0.5978136663198397,0.5978136663198397,1.4714181207221866,0.3080819329638067,0.3080819329638067
heuristic,drift_required,medium,light,strong,slow,3,59.84621884900986,0.3333333333333333,0.6666666666666666,0.9496385004169507,1.9432942066211396,0.15838029442339296,0.0324750798286071,0.0,13.444111068718023,0.0054080120753496885,0.6666666666666666,0.3333333333333333,1.6205016517508304,1.0,,0.47640473981011805,0.7763286494349086,1.6508694230065553,-0.0303677712557248,-0.2618806512197758
heuristic,drift_required,medium,nominal,weak,nominal,1,9.648523042672924,0.0,1.0,0.4470113112470387,0.4725883050298023,0.3043768220931084,0.017334214834456633,0.0,11.60822761578733,0.010086031630635262,1.0,0.0,1.3917282685129857,1.0,,0.6804324097662902,0.6804324097662902,1.4609533252776772,-0.06922505676469148,-0.06922505676469148
