policy,checkpoint,snippet_npz,snippets,mode,batch_size,batches,seed,logprob_margin,loss_mean,loss_std,loss_min,loss_max
m298pref_a020,runs/m302_rejected_preference_guarded_ppo_smoke/interpolation/checkpoints/alpha_0.pt,runs/m270_source_balanced_multi_surface_anchor/outcome_intervention_snippets.npz,99,exact,99,1,0,0.05,0.6779459118843079,0.0,0.6779459118843079,0.6779459118843079
m302_a001,runs/m302_rejected_preference_guarded_ppo_smoke/interpolation/checkpoints/alpha_0_001.pt,runs/m270_source_balanced_multi_surface_anchor/outcome_intervention_snippets.npz,99,exact,99,1,0,0.05,0.6779462695121765,0.0,0.6779462695121765,0.6779462695121765
m302_a005,runs/m302_rejected_preference_guarded_ppo_smoke/interpolation/checkpoints/alpha_0_005.pt,runs/m270_source_balanced_multi_surface_anchor/outcome_intervention_snippets.npz,99,exact,99,1,0,0.05,0.6779480576515198,0.0,0.6779480576515198,0.6779480576515198
m302_a010,runs/m302_rejected_preference_guarded_ppo_smoke/interpolation/checkpoints/alpha_0_01.pt,runs/m270_source_balanced_multi_surface_anchor/outcome_intervention_snippets.npz,99,exact,99,1,0,0.05,0.677950382232666,0.0,0.677950382232666,0.677950382232666
m302_a020,runs/m302_rejected_preference_guarded_ppo_smoke/interpolation/checkpoints/alpha_0_02.pt,runs/m270_source_balanced_multi_surface_anchor/outcome_intervention_snippets.npz,99,exact,99,1,0,0.05,0.6779547333717346,0.0,0.6779547333717346,0.6779547333717346
m302_a050,runs/m302_rejected_preference_guarded_ppo_smoke/interpolation/checkpoints/alpha_0_05.pt,runs/m270_source_balanced_multi_surface_anchor/outcome_intervention_snippets.npz,99,exact,99,1,0,0.05,0.6779678463935852,0.0,0.6779678463935852,0.6779678463935852
m302_a100,runs/m302_rejected_preference_guarded_ppo_smoke/interpolation/checkpoints/alpha_0_1.pt,runs/m270_source_balanced_multi_surface_anchor/outcome_intervention_snippets.npz,99,exact,99,1,0,0.05,0.6779900789260864,0.0,0.6779900789260864,0.6779900789260864
m302_a200,runs/m302_rejected_preference_guarded_ppo_smoke/interpolation/checkpoints/alpha_0_2.pt,runs/m270_source_balanced_multi_surface_anchor/outcome_intervention_snippets.npz,99,exact,99,1,0,0.05,0.6780341863632202,0.0,0.6780341863632202,0.6780341863632202
m302_a500,runs/m302_rejected_preference_guarded_ppo_smoke/interpolation/checkpoints/alpha_0_5.pt,runs/m270_source_balanced_multi_surface_anchor/outcome_intervention_snippets.npz,99,exact,99,1,0,0.05,0.678166925907135,0.0,0.678166925907135,0.678166925907135
m302_a1000,runs/m302_rejected_preference_guarded_ppo_smoke/interpolation/checkpoints/alpha_1.pt,runs/m270_source_balanced_multi_surface_anchor/outcome_intervention_snippets.npz,99,exact,99,1,0,0.05,0.678388774394989,0.0,0.678388774394989,0.678388774394989
